代码,名称,开盘,最高,最低,收盘,昨收,涨跌幅,成交额
000001,平安银行,11.36,11.46,11.32,11.46,11.38,0.7,1908333959.0
000010,*ST美丽,3.04,3.04,3.04,3.04,3.38,-10.06,38459040.0
000021,深科技,29.2,29.58,28.5,28.6,29.29,-2.36,1900301536.0
000063,中兴通讯,37.0,37.0,35.82,36.01,37.26,-3.35,4108537165.0
000100,TCL科技,4.3,4.33,4.23,4.26,4.3,-0.93,1320458697.0
000166,申万宏源,4.63,4.72,4.61,4.68,4.62,1.3,449374690.0
000301,东方盛虹,12.76,13.1,12.76,13.06,12.76,2.35,415191903.0
000333,美的集团,79.45,80.8,79.18,80.45,79.5,1.19,2450034708.0
000338,潍柴动力,29.73,30.4,29.53,30.08,29.66,1.42,3428973381.0
000408,藏格矿业,89.09,89.99,87.51,88.73,89.93,-1.33,823719721.0
000425,徐工机械,9.71,10.07,9.65,10.04,9.71,3.4,1145340378.0
000538,云南白药,54.3,54.85,54.2,54.84,54.29,1.01,546035405.0
000568,泸州老窖,100.37,101.37,99.8,100.2,100.35,-0.15,673886656.0
000617,中油资本,9.31,9.44,9.28,9.34,9.35,-0.11,929530080.0
000630,铜陵有色,6.25,6.28,6.1,6.24,6.29,-0.79,1274703577.0
000636,风华高科,23.08,24.99,22.87,24.44,23.29,4.94,2872357086.0
000651,格力电器,37.41,38.47,37.36,38.44,37.51,2.48,2755183336.0
000657,中钨高新,53.82,54.5,51.13,52.1,53.83,-3.21,3566385335.0
000725,京东方Ａ,4.2,4.21,4.14,4.15,4.21,-1.43,1647186381.0
000776,广发证券,21.01,21.46,20.51,21.1,19.9,6.03,3540159831.0
000792,盐湖股份,37.56,37.93,36.8,37.02,37.67,-1.73,2324671367.0
000807,云铝股份,33.15,33.32,32.35,32.49,33.43,-2.81,1660007639.0
000838,*ST发展,1.89,1.89,1.84,1.89,1.8,5.0,109761688.0
000858,五 粮 液,100.08,100.29,99.9,100.2,100.2,0.0,1234366126.0
000895,双汇发展,28.78,29.18,28.6,29.1,28.79,1.08,358045354.0
000938,紫光股份,31.85,32.28,31.0,31.58,32.19,-1.89,4452188772.0
000958,电投产融,5.96,5.97,5.81,5.92,5.96,-0.67,244819188.0
000977,浪潮信息,73.0,73.06,70.37,70.83,73.16,-3.18,4283745269.0
000988,华工科技,118.5,119.25,114.38,115.59,118.79,-2.69,7635978964.0
001280,中国铀业,84.34,84.49,81.88,82.32,84.26,-2.3,725785554.0
001289,龙源电力,16.3,16.52,16.1,16.25,16.42,-1.04,186877122.0
001309,德明利,496.93,510.0,486.22,496.39,488.15,1.69,6602728749.0
001389,广合科技,172.17,175.0,164.0,165.11,172.2,-4.12,2006101383.0
002001,新 和 成,34.53,35.55,34.28,35.39,34.53,2.49,1319683296.0
002008,大族激光,103.0,110.96,101.0,105.22,104.67,0.53,6129395047.0
002027,分众传媒,6.09,6.14,6.06,6.1,6.09,0.16,520531879.0
002028,思源电气,207.23,207.4,194.1,195.25,207.48,-5.89,4111761583.0
002049,紫光国微,76.45,76.6,74.27,74.43,73.36,1.46,2852944173.0
002050,三花智控,45.86,45.86,44.11,44.16,45.91,-3.81,3923957202.0
002080,中材科技,52.15,54.93,51.01,53.38,52.07,2.52,2839496301.0
002102,ST能特,2.84,2.86,2.76,2.79,2.89,-3.46,151324010.0
002142,宁波银行,32.84,33.51,32.6,33.25,32.84,1.25,1067511399.0
002156,通富微电,50.85,52.1,49.71,50.25,51.2,-1.86,5871848532.0
002179,中航光电,36.6,36.65,35.32,35.54,36.94,-3.79,1268135899.0
002185,华天科技,12.87,12.89,12.46,12.65,12.89,-1.86,1460327356.0
002202,金风科技,26.45,26.5,25.4,25.51,26.53,-3.84,4540471711.0
002230,科大讯飞,49.58,50.03,48.9,49.17,49.81,-1.28,1730764448.0
002241,歌尔股份,24.82,24.95,24.26,24.39,25.08,-2.75,2279388619.0
002281,光迅科技,131.92,140.99,130.5,137.0,134.52,1.84,8677521561.0
002311,海大集团,46.78,49.34,46.69,49.12,46.53,5.57,969393158.0
002352,顺丰控股,36.89,37.15,36.73,37.02,36.88,0.38,714337199.0
002353,杰瑞股份,128.42,129.22,124.0,125.03,129.3,-3.3,1693802910.0
002371,北方华创,511.54,537.25,504.0,517.21,516.25,0.19,7207868964.0
002379,宏桥控股,25.49,26.12,25.09,25.2,25.59,-1.52,720655375.0
002384,东山精密,187.0,190.2,181.01,183.9,186.7,-1.5,14644295429.0
002409,雅克科技,83.0,85.5,80.5,83.62,89.12,-6.17,2213372280.0
002415,海康威视,34.01,35.18,33.68,34.65,33.97,2.0,2641005785.0
002428,云南锗业,72.6,73.0,68.89,69.68,72.8,-4.29,6207856240.0
002460,赣锋锂业,84.12,84.61,81.18,82.1,84.11,-2.39,3976936353.0
002463,沪电股份,104.94,105.33,101.11,101.88,104.95,-2.93,5383622904.0
002466,天齐锂业,74.61,75.09,72.0,72.53,73.65,-1.52,5622954166.0
002475,立讯精密,71.02,72.4,68.95,69.88,71.97,-2.9,15245939862.0
002484,江海股份,38.28,38.57,37.15,37.64,37.64,0.0,2647369737.0
002493,荣盛石化,12.66,13.12,12.46,13.03,12.44,4.74,1289959499.0
002565,顺灏股份,19.12,19.69,18.61,18.85,18.57,1.51,3397639801.0
002594,比亚迪,101.85,103.3,101.34,101.48,102.34,-0.84,3687912785.0
002600,领益智造,14.3,14.3,13.9,13.96,14.44,-3.32,1324109286.0
002602,世纪华通,16.79,17.61,16.72,17.24,16.7,3.23,2383998722.0
002648,卫星化学,27.68,29.35,27.65,29.0,27.95,3.76,1661983406.0
002653,海思科,58.36,59.68,56.84,57.08,59.0,-3.25,291732966.0
002709,天赐材料,56.5,57.0,53.76,54.23,55.26,-1.86,8934193330.0
002714,牧原股份,42.27,43.49,42.12,43.3,42.26,2.46,1945343139.0
002736,国信证券,10.82,11.09,10.82,10.96,10.84,1.11,521318539.0
002816,*ST和科,24.56,24.73,23.69,23.95,24.56,-2.48,71922954.0
002837,英维克,95.8,96.99,92.16,92.84,96.0,-3.29,3275130393.0
002851,麦格米特,107.5,108.5,104.5,105.1,108.04,-2.72,1521002385.0
002916,深南电路,321.32,321.84,308.0,314.93,321.8,-2.13,3801898533.0
002938,鹏鼎控股,77.49,78.01,73.77,74.62,77.18,-3.32,2436712986.0
003816,中国广核,4.61,4.72,4.6,4.71,4.62,1.95,629978063.0
159516,半导体设备ETF国泰,0.968,1.002,0.955,0.974,0.975,-0.1,2242436050
159558,半导体设备ETF易方达,2.272,2.347,2.241,2.287,2.294,-0.31,439209224
300014,亿纬锂能,71.06,71.11,69.5,70.43,71.43,-1.4,3937143360.0
300015,爱尔眼科,10.89,11.18,10.81,11.08,10.88,1.84,1886655729.0
300024,机器人,14.72,14.79,14.27,14.36,14.8,-2.97,293911525.0
300033,同花顺,227.27,235.68,225.36,231.2,229.1,0.92,3118724956.0
300054,鼎龙股份,57.99,61.7,57.51,59.2,56.31,5.13,3230871964.0
300059,东方财富,19.9,20.46,19.9,20.16,19.98,0.9,7072650762.0
