代码,名称,最新价,IOPV实时估值,基金折价率,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,振幅,换手率,量比,委比,外盘,内盘,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,现手,买一,卖一,最新份额,流通市值,总市值,数据日期,更新时间
159916,基本面ETF建信,5.394,5.2128,-3.48,0.236,4.58,509.0,267214.6,5.179,5.394,5.15,5.158,4.73,0.12,1.01,-9.04,338.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,-53031.0,-19.85,53031.0,19.85,144.0,5.203,5.394,42566039.0,229601214,229601214,2026-07-30,2026-07-30 15:34:12+08:00
513350,标普油气ETF富国,1.257,1.2205,-2.99,0.047,3.88,17189529.0,2130311088.0,1.243,1.257,1.224,1.21,2.73,209.44,1.1,48.44,9258463.0,7931066.0,-1763760.0,-0.08,-9955680.0,-0.47,8191920.0,0.38,5030576.0,0.24,-3266802.0,-0.15,-221158.0,1.256,1.257,820746000.0,1031677722,1031677722,2026-07-30,2026-07-30 16:11:41+08:00
512690,酒ETF鹏华,0.452,0.4518,-0.04,0.016,3.67,25155512.0,1130152953.0,0.435,0.455,0.434,0.436,4.82,7.68,1.54,-50.92,15446664.0,9708848.0,141371546.0,12.51,226821744.0,20.07,-85450198.0,-7.56,-99199113.0,-8.78,-42172429.0,-3.73,-215741.0,0.451,0.452,32764750336.0,14809667152,14809667152,2026-07-30,2026-07-30 16:11:49+08:00
515290,银行ETF天弘,1.52,1.5098,-0.68,0.049,3.33,350504.0,52357298.0,1.467,1.52,1.467,1.471,3.6,1.27,0.19,50.77,208551.0,141953.0,3406148.0,6.51,-931644.0,-1.78,4337792.0,8.28,-1501265.0,-2.87,-1904883.0,-3.64,-13736.0,1.52,1.521,2753572896.0,4185430802,4185430802,2026-07-30,2026-07-30 16:11:37+08:00
516840,汽车ETF南方,0.818,0.8141,-0.48,0.026,3.28,231464.0,18873772.0,0.792,0.821,0.785,0.792,4.55,18.78,6.84,14.88,132415.0,99049.0,-6240061.0,-33.06,-6194483.0,-32.82,-45578.0,-0.24,3756896.0,19.91,2483166.0,13.16,-2976.0,0.818,0.819,123277000.0,100840586,100840586,2026-07-30,2026-07-30 16:11:56+08:00
159518,标普油气ETF嘉实,1.176,1.1633,-1.09,0.036,3.16,7823901.0,911120811.968,1.163,1.177,1.153,1.14,2.11,47.55,0.99,46.72,4272395.0,3551506.0,18176735.0,1.99,17990319.0,1.97,186416.0,0.02,-11840085.0,-1.3,-6336656.0,-0.7,-47969.0,1.176,1.177,1645325376.0,1934902642,1934902642,2026-07-30,2026-07-30 15:34:21+08:00
516210,银行ETF华安,1.437,1.432,-0.35,0.043,3.08,101539.0,14431003.0,1.399,1.44,1.399,1.394,2.94,13.2,1.28,27.0,57754.0,43785.0,-3635419.0,-25.19,-1335482.0,-9.25,-2299937.0,-15.94,2218882.0,15.38,1416536.0,9.82,-2196.0,1.436,1.437,76931000.0,110549847,110549847,2026-07-30,2026-07-30 16:11:54+08:00
159928,消费ETF汇添富,0.699,0.697,-0.29,0.02,2.95,8800814.0,612553881.895,0.68,0.701,0.678,0.679,3.39,3.78,1.78,-17.99,5093354.0,3707460.0,38531031.0,6.29,44768981.0,7.31,-6237950.0,-1.02,-26219625.0,-4.28,-12311398.0,-2.01,-117197.0,0.699,0.7,23286629120.0,16277353755,16277353755,2026-07-30,2026-07-30 15:34:21+08:00
159512,汽车ETF广发,1.134,1.1263,-0.68,0.032,2.9,424267.0,47772330.4,1.098,1.136,1.085,1.102,4.63,53.53,3.27,3.62,206838.0,217429.0,-9989731.0,-20.91,-10581722.0,-22.15,591991.0,1.24,5764982.0,12.07,4224748.0,8.84,6115.0,1.133,1.134,79264855.0,89886346,89886346,2026-07-30,2026-07-30 15:34:27+08:00
560670,银行ETF华泰柏瑞,1.091,1.0879,-0.28,0.03,2.83,206930.0,22276862.0,1.062,1.091,1.059,1.061,3.02,37.3,1.4,-2.75,127260.0,79670.0,-2239104.0,-10.05,-1624848.0,-7.29,-614256.0,-2.76,1343518.0,6.03,895587.0,4.02,-1291.0,1.09,1.091,55474000.0,60522134,60522134,2026-07-30,2026-07-30 16:11:34+08:00
159689,消费ETF南方,0.667,0.6643,-0.41,0.018,2.77,112740.0,7481061.1,0.65,0.669,0.643,0.649,4.01,14.07,0.73,31.18,60789.0,51951.0,-991249.0,-13.25,-24590.0,-0.33,-966659.0,-12.92,506349.0,6.77,484900.0,6.48,1050.0,0.666,0.667,80147787.0,53458574,53458574,2026-07-30,2026-07-30 15:34:48+08:00
512410,银行ETF广发,1.126,1.1228,-0.29,0.03,2.74,175949.0,19545877.0,1.095,1.126,1.091,1.096,3.19,21.18,1.44,-11.2,100078.0,75871.0,-4365161.0,-22.33,-1663500.0,-8.51,-2701661.0,-13.82,3032950.0,15.52,1332211.0,6.82,-2388.0,1.125,1.126,83071700.0,93538734,93538734,2026-07-30,2026-07-30 16:11:50+08:00
159887,银行ETF富国,1.373,1.3707,-0.17,0.036,2.69,784942.0,106469536.25,1.338,1.373,1.333,1.337,2.99,14.43,1.03,29.91,540483.0,244459.0,23064597.0,21.66,7659128.0,7.19,15405469.0,14.47,-11101781.0,-10.43,-11962817.0,-11.24,15886.0,1.372,1.373,543915952.0,746796602,746796602,2026-07-30,2026-07-30 15:34:48+08:00
