序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,920038,N森合,48.31,66.24,19.25,219653.0,1096538991.75,25.98,55.55,48.0,48.87,29.06,,64.29,20.65,3.7,5048646260.0,1650563373.0,0.12,0.37,66.24,66.24
2,920117,龙鑫智能,35.17,29.97,8.11,96987.0,300041173.82,32.59,35.17,26.35,26.5,27.06,1.71,47.98,36.99,3.03,3159673222.0,710926486.0,0.0,0.0,97.25,97.25
3,920092,汉鑫科技,37.44,23.04,7.01,108725.0,381574011.86,28.06,39.55,31.01,32.0,30.43,3.17,33.62,-220.88,6.62,2324263968.0,1210674329.0,0.0,3.06,24.39,0.0
4,300552,万集科技,24.88,20.02,4.15,218173.0,527675696.32,9.07,24.88,23.0,23.0,20.73,4.47,16.15,-50.86,3.05,5302751827.0,3360993097.0,0.0,0.0,-13.52,-18.05
5,300248,新开普,10.07,20.02,1.68,355537.0,344396238.98,20.5,10.07,8.35,8.39,8.39,3.14,8.69,-22.48,2.27,4796828318.0,4119058156.0,0.0,0.0,2.76,-18.33
6,688549,中巨芯-U,23.21,20.01,3.87,1021773.0,2199955314.0,21.1,23.21,19.13,19.19,19.34,1.18,17.34,1344.25,11.39,34287575960.0,13678093990.0,0.0,0.0,82.47,154.5
7,300686,智动力,15.06,20.0,2.51,149705.0,219063961.6,13.23,15.06,13.4,14.0,12.55,1.76,5.78,-19.04,5.19,3925000753.0,3899151769.0,0.0,0.0,-15.87,0.0
8,301045,天禄科技,63.36,20.0,10.56,43843.0,260219114.99,19.98,63.36,52.81,52.81,52.8,0.82,6.29,181.11,6.81,6989771163.0,4417207788.0,0.0,0.0,23.27,139.73
9,688596,正帆科技,57.42,20.0,9.57,445524.0,2466440397.0,20.84,57.42,47.45,47.46,47.85,1.02,15.32,-163.09,4.46,16697694600.0,16697694600.0,0.0,0.0,60.12,82.11
10,301026,浩通科技,21.49,19.99,3.58,270919.0,558422973.7,15.69,21.49,18.68,18.8,17.91,6.11,16.93,18.56,2.92,4761831156.0,3439104872.0,0.0,0.0,-5.12,7.67
11,688600,皖仪科技,27.44,19.98,4.57,64460.0,166824851.0,19.28,27.44,23.03,23.05,22.87,2.97,4.79,75.35,4.75,3696400966.0,3696400966.0,0.0,0.0,-2.8,10.38
12,300615,欣天科技,15.02,19.97,2.5,40861.0,61372891.56,0.0,15.02,15.02,15.02,12.52,1.25,2.67,-21.55,6.28,2898697784.0,2299370690.0,0.0,0.0,4.96,13.53
13,300420,五洋自控,7.89,19.73,1.3,2248147.0,1674182395.3,19.58,7.91,6.62,6.72,6.59,1.88,20.14,542.58,3.72,8808266296.0,8807582233.0,1.15,1.15,86.97,98.24
