排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,历史新高,BK1675,1867.54,311.25,20.0,8262437000,49.28,1,0,万邦医药,20.0
2,昨日打二板以上表现,BK1645,17219.76,1404.49,8.88,60148108000,15.82,8,1,蓝盾光电,20.01
3,昨日连板_含一字,BK1051,57083.75,3850.43,7.23,124031859000,15.01,13,3,蓝盾光电,20.01
4,昨日连板,BK0816,31158.07,1358.29,4.56,82801479000,17.02,7,3,亚泰集团,10.19
5,CRO,BK0899,2391.17,102.84,4.49,1130241760000,7.35,34,7,博济医药,20.02
6,重组蛋白,BK1063,1080.33,38.22,3.67,259550122000,5.75,18,2,近岸蛋白,20.01
7,CAR-T细胞疗法,BK0986,1275.17,34.33,2.77,816137472000,4.71,21,4,博济医药,20.02
8,减肥药,BK1146,1350.49,28.32,2.14,1013242208000,4.01,27,11,博济医药,20.02
9,肝炎概念,BK1078,1440.73,29.13,2.06,643396016000,7.46,45,11,誉衡药业,10.1
10,基因测序,BK0693,1906.61,35.36,1.89,450452160000,8.82,30,11,兰卫医学,19.96
11,创新药,BK1106,1546.67,28.42,1.87,4158961728000,4.7,148,41,亚泰集团,10.19
12,特色药,BK1656,942.6,17.13,1.85,596297216000,4.66,33,6,新里程,10.13
13,独家药品,BK0676,2522.3,45.08,1.82,691780416000,4.06,38,4,新里程,10.13
14,题材股,BK1717,1379.52,22.06,1.63,1272684352000,17.6,24,23,蓝盾光电,20.01
15,肝素概念,BK0944,889.14,13.79,1.58,197920008000,3.97,11,1,红日药业,7.43
16,创新医疗服务,BK1658,1031.01,15.82,1.56,1698635088000,4.15,48,30,博济医药,20.02
17,近期新高,BK1674,1476.59,21.91,1.51,319910400000,13.64,18,15,蓝盾光电,20.01
18,AI制药（医疗）,BK1170,1421.83,20.66,1.47,765968720000,5.03,34,29,博济医药,20.02
19,精准诊断,BK1659,951.31,13.81,1.47,773635872000,3.77,45,15,近岸蛋白,20.01
20,体外诊断概念,BK0841,1357.18,19.33,1.44,797856016000,3.51,48,20,近岸蛋白,20.01
21,病原体防治,BK1657,987.81,13.84,1.42,1759427312000,5.07,126,38,誉衡药业,10.1
22,单抗概念,BK0870,1761.1,23.91,1.38,1750917968000,3.16,39,9,九洲药业,8.5
23,中药概念,BK0615,2252.13,29.95,1.35,1871975760000,4.2,97,43,澳洋健康,10.13
24,免疫治疗,BK0698,1521.63,20.25,1.35,529020416000,2.68,37,6,热景生物,4.53
