排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,教育运营及其他,BK1556,892.25,63.3,7.64,10713027000,7.44,2,0,ST豆神,14.76
2,集成电路制造,BK1329,3843.48,245.12,6.81,2042260176000,2.63,8,0,赛微电子,20.01
3,其他种植业,BK1516,1024.57,64.73,6.74,46482774000,4.97,4,1,新赛股份,10.07
4,种子,BK1518,4649.01,275.41,6.3,61445516000,12.54,10,0,万向德农,9.96
5,模拟芯片设计,BK1330,6652.27,362.84,5.77,647264944000,2.95,35,1,昂瑞微-UW,20.0
6,印制电路板,BK1340,12052.15,651.85,5.72,2728802144000,5.22,48,0,天津普林,10.01
7,种植业,BK1261,2750.17,144.0,5.53,157554217000,7.64,20,1,新赛股份,10.07
8,通信线缆及配套,BK1592,26182.79,1358.78,5.47,835134752000,11.5,13,0,汇源通信,10.0
9,半导体材料,BK1325,13569.47,697.97,5.42,1071635920000,5.6,31,0,先导基电,10.0
10,激光设备,BK1409,18938.95,954.99,5.31,314311808000,5.48,10,1,光韵达,10.14
11,电子化学品Ⅲ,BK1332,3388.18,168.83,5.24,755183616000,5.63,37,0,宏昌电子,10.02
12,电子化学品Ⅱ,BK1039,3388.18,168.83,5.24,755183616000,5.63,37,0,宏昌电子,10.02
13,元件,BK0459,57135.8,2828.41,5.21,3260481200000,5.49,66,1,天津普林,10.01
14,农用机械,BK1404,1722.28,84.96,5.19,47015494000,2.78,8,2,花溪科技,30.0
15,半导体,BK1036,2818.27,135.18,5.04,15184695040000,3.94,183,2,昂瑞微-UW,20.0
16,农业综合Ⅲ,BK1506,2329.96,110.5,4.98,10482764000,3.3,3,0,润农节水,8.88
17,农业综合Ⅱ,BK1257,2329.96,110.5,4.98,10482764000,3.3,3,0,润农节水,8.88
18,钨,BK1625,8989.89,425.17,4.96,284808000000,4.85,4,0,中钨高新,7.19
19,稀土,BK1626,10000.39,470.18,4.93,281726944000,2.8,4,0,中国稀土,8.53
20,非金属材料Ⅲ,BK1411,2039.52,93.41,4.8,137141298000,3.94,14,0,联瑞新材,20.0
21,非金属材料Ⅱ,BK1020,2039.52,93.41,4.8,137141298000,3.94,14,0,联瑞新材,20.0
22,分立器件,BK1327,16359.18,732.94,4.69,635674288000,4.85,18,0,炬光科技,11.07
23,数字芯片设计,BK1331,25404.6,1117.84,4.6,8093831168000,3.79,53,1,德明利,10.0
24,集成电路封测,BK1328,8588.85,376.77,4.59,433557200000,5.45,13,0,颀中科技,8.27
25,氨纶,BK1412,2924.29,125.83,4.5,57664760000,0.97,1,0,华峰化学,4.5
26,期货,BK1361,524.43,22.43,4.47,51075972000,3.06,4,0,南华期货,10.01
27,半导体设备,BK1326,52348.28,2190.85,4.37,2260471536000,2.57,25,0,矽电股份,13.71
28,其他养殖,BK1510,1038.52,43.29,4.35,10839992000,2.84,3,0,天山生物,7.01
29,通信网络设备及器件,BK1591,14902.81,594.05,4.15,3024644000000,3.98,33,3,星网锐捷,9.99
30,电子,BK1201,13270.93,506.85,3.97,24692122368000,3.46,482,33,捷荣技术,10.0
31,玻纤制造,BK1462,15440.91,586.24,3.95,552019328000,5.18,8,0,中国巨石,7.95
32,被动元件,BK1339,12664.17,477.78,3.92,531679056000,6.32,18,1,钧崴电子,10.27
33,光学元件,BK1334,16147.99,589.29,3.79,431364624000,3.88,25,2,光智科技,16.2
34,其他电子Ⅲ,BK1336,14964.26,500.69,3.46,427949392000,4.65,30,3,瑞可达,12.16
35,其他电子Ⅱ,BK1223,14964.26,500.69,3.46,427949392000,4.65,30,3,瑞可达,12.16
36,磨具磨料,BK1397,8940.5,298.25,3.45,138696633000,7.58,11,3,四方达,8.08
37,氟化工,BK1424,13752.23,453.36,3.41,312635632000,3.01,9,1,昊华科技,10.01
38,通信设备,BK0448,24207.29,797.15,3.41,4362762240000,6.02,78,11,汇源通信,10.0
39,粮食种植,BK1515,998.16,32.23,3.34,36755379000,3.06,2,0,北大荒,3.99
40,粮油加工,BK1504,1547.46,48.61,3.24,171075887000,10.0,6,3,金健米业,10.0
41,食用菌,BK1517,1385.29,42.55,3.17,12870546000,9.38,4,0,雪榕生物,5.07
42,黄金,BK1617,7439.66,227.1,3.15,608076192000,3.9,10,0,湖南黄金,10.02
43,动力煤,BK1493,2571.53,75.4,3.02,2129921248000,1.16,16,1,昊华能源,6.68
44,小金属,BK1027,4046.26,116.98,2.98,1169858832000,3.72,24,2,东方钽业,10.0
45,辅料,BK1348,3048.45,86.63,2.92,25071066000,3.45,4,0,伟星股份,6.93
46,其他专业服务,BK1567,1124.6,31.94,2.92,15266108000,1.87,2,2,零点有数,10.92
47,彩电,BK1453,4446.36,124.88,2.89,109191355000,1.63,4,0,兆驰股份,5.81
48,贵金属,BK0732,2875.6,80.75,2.89,739279680000,5.8,13,0,湖南黄金,10.02
49,有机硅,BK1431,3221.3,89.95,2.87,101651880000,2.74,9,1,润禾材料,7.78
50,磁性材料,BK1618,5517.63,149.99,2.79,191088407000,2.47,15,0,春光集团,7.39
51,林业Ⅲ,BK1502,4539.18,122.92,2.78,20376533000,11.67,4,0,平潭发展,10.02
52,林业Ⅱ,BK1255,4539.18,122.92,2.78,20376533000,11.67,4,0,平潭发展,10.02
53,房地产综合服务,BK1342,1420.04,38.07,2.75,4125657000,2.64,1,0,珠江股份,2.75
54,膜材料,BK1439,3709.18,97.68,2.7,234687186000,4.14,18,3,东材科技,9.99
55,其他塑料制品,BK1440,5149.11,134.76,2.69,121275796000,4.18,15,6,艾艾精工,10.0
56,制冷空调设备,BK1400,4444.63,115.94,2.68,186035675000,4.36,11,7,英特科技,20.0
57,地面兵装Ⅲ,BK1382,3541.68,92.15,2.67,131120036000,2.26,12,0,甘化科工,10.04
58,地面兵装Ⅱ,BK1229,3541.68,92.15,2.67,131120036000,2.26,12,0,甘化科工,10.04
59,会展服务,BK1565,1208.07,31.19,2.65,14869907000,5.27,2,1,米奥会展,10.7
60,消费电子零部件及组装,BK1338,13641.23,352.01,2.65,3236343888000,2.42,77,10,捷荣技术,10.0
61,煤炭开采,BK1250,2033.82,52.03,2.63,2368112704000,1.32,26,1,昊华能源,6.68
62,其他小金属,BK1624,5355.8,135.94,2.6,442819152000,4.67,14,1,东方钽业,10.0
63,机床工具,BK1395,1856.35,46.81,2.59,135467114000,2.29,16,2,乔锋智能,10.44
64,通信,BK1215,7772.14,193.73,2.56,7534177536000,2.08,102,25,汇源通信,10.0
65,煤炭,BK0437,14592.68,357.91,2.51,2425273472000,1.56,33,1,昊华能源,6.68
66,塑料,BK0454,21655.18,517.19,2.45,690782928000,3.69,60,17,沃特股份,9.99
67,金属新材料,BK1288,5785.05,137.34,2.43,413673040000,2.57,30,6,春光集团,7.39
68,消费电子,BK1037,2089.65,49.28,2.42,3511807120000,2.39,82,16,捷荣技术,10.0
69,通信终端及配件,BK1593,4130.36,96.83,2.4,420948816000,6.29,22,5,楚天龙,9.98
70,光学光电子,BK1038,2100.17,48.98,2.39,1552005984000,2.87,84,11,光智科技,16.2
71,橡胶助剂,BK1443,4330.08,100.52,2.38,43810647000,2.09,2,0,彤程新材,3.21
72,复合肥,BK1433,3394.13,78.56,2.37,82279350000,3.88,9,1,农大科技,3.9
73,农林牧渔,BK0433,14769.9,339.43,2.35,1257909520000,3.65,93,17,新赛股份,10.07
74,炼油化工,BK1569,3750.2,84.5,2.31,3152991712000,0.23,8,2,恒逸石化,5.49
75,自动化设备,BK1237,10971.88,240.42,2.24,1577110384000,3.08,74,20,凯迪股份,10.0
76,合成树脂,BK1438,8529.85,184.24,2.21,170676049000,3.93,10,3,上纬新材,10.72
77,军工电子Ⅲ,BK1386,6245.89,134.89,2.21,851632704000,2.15,50,10,天微电子,8.09
78,军工电子Ⅱ,BK1233,6245.89,134.89,2.21,851632704000,2.15,50,10,天微电子,8.09
79,其他金属新材料,BK1619,3709.73,78.88,2.17,222584634000,2.65,15,6,博威合金,7.15
