序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,688835,C高凯,299.48,27.44,64.48,92133.0,2529150623.0,25.45,299.48,239.67,239.67,235.0,0.61,49.05,140.99,13.41,29933238032.0,5625068452.0,0.16,0.69,388.07,388.07
2,301177,迪阿股份,28.73,20.01,4.79,76027.0,203489781.52,22.43,28.73,23.36,23.36,23.94,2.22,1.9,76.49,1.89,11499887822.0,11492287300.0,0.0,0.0,15.2,1.27
3,301630,同宇新材,196.81,20.0,32.8,44772.0,873589282.21,4.96,196.81,188.68,196.39,164.01,4.13,21.34,46.33,6.34,11021360000.0,4129014757.0,0.0,0.0,8.34,64.01
4,688185,康希诺,85.62,20.0,14.27,55119.0,466118168.0,4.86,85.62,82.15,82.15,71.35,0.44,4.82,-130.81,4.29,21151890242.0,9792607784.0,0.0,0.0,56.3,36.23
5,300333,兆日科技,12.34,16.75,1.77,899314.0,1090662743.73,22.42,12.68,10.31,10.51,10.57,2.84,26.86,44.55,6.74,4146240000.0,4131186027.0,-0.08,0.49,22.66,7.3
6,300647,超频三,6.77,16.32,0.95,811913.0,526052561.14,16.32,6.9,5.95,5.96,5.82,6.61,17.78,89.35,7.05,3096063332.0,3091467308.0,0.3,0.15,0.3,-1.74
7,688828,国仪公司-U,118.5,15.09,15.54,103076.0,1165348075.0,20.4,123.55,102.55,105.26,102.96,1.29,39.59,-337.04,33.45,47401185000.0,3085625411.0,0.7,1.19,458.44,458.44
8,920735,德源药业,27.5,13.4,3.25,81784.0,216167657.05,11.18,27.99,25.28,25.8,24.25,3.79,7.17,13.79,2.56,3548808698.0,3138656235.0,0.07,0.04,10.09,-9.95
9,920790,联迪信息,23.99,13.0,2.76,71656.0,166848861.06,18.89,25.08,21.07,21.07,21.23,3.65,13.18,-144.51,6.38,1894418810.0,1303975442.0,0.46,0.21,22.65,-27.08
10,300010,ST豆神,2.71,12.92,0.31,1360153.0,355911113.47,16.67,2.77,2.37,2.38,2.4,3.73,8.18,-24.68,3.23,5600520306.0,4507628842.0,0.37,0.74,-9.67,-62.57
11,300816,艾可蓝,58.18,11.18,5.85,105964.0,597746145.92,11.58,59.86,53.8,53.8,52.33,4.55,18.16,59.41,4.77,4654400000.0,3395695132.0,0.03,0.24,-35.68,21.06
12,920274,宏裕包材,17.16,11.07,1.71,55809.0,96833670.06,19.61,18.65,15.62,15.62,15.45,6.2,6.86,41.66,2.82,1395680011.0,1395680011.0,0.0,0.12,-13.46,-40.02
