排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,昨日打二板以上表现,BK1645,17238.38,941.97,5.78,24567115000,23.89,3,1,深中华A,10.0
2,昨日连板_含一字,BK1051,67177.66,2565.94,3.97,57289081000,16.53,5,3,海鸥住工,10.11
3,券商概念,BK0711,1090.97,31.66,2.99,3892622080000,1.42,55,0,锦龙股份,10.05
4,超导概念,BK0679,6414.81,183.81,2.95,544198048000,1.79,16,3,百利电气,10.05
5,昨日连板,BK0816,32675.67,928.33,2.92,39118996000,18.45,3,2,楚天龙,10.01
6,科创板做市商,BK1107,1436.47,36.52,2.61,1914667008000,0.93,14,0,招商证券,5.21
7,昨日涨停,BK0815,178.57,4.09,2.34,593992464000,11.67,41,25,康盛股份,10.12
8,昨日涨停_含一字,BK1050,141958.01,3141.73,2.26,611500688000,11.88,42,27,海鸥住工,10.11
9,题材股,BK1717,1319.28,27.67,2.14,1625689200000,14.84,37,22,海鸥住工,10.11
10,参股期货,BK0524,30472.56,594.09,1.99,2977316368000,1.33,37,8,锦龙股份,10.05
11,昨日首板,BK1630,5862.51,112.65,1.96,486885024000,12.77,28,21,康盛股份,10.12
12,金融地产风格,BK1714,1062.41,20.03,1.92,22806395392000,0.46,95,4,湘财股份,10.03
13,最近多板,BK1638,2250.67,42.15,1.91,1154671136000,12.92,70,47,海鸥住工,10.11
14,钒电池,BK1095,1311.92,24.39,1.89,527334000000,1.63,19,1,西部矿业,7.62
15,东方财富热股,BK1637,3452.3,60.78,1.79,9812908288000,5.18,55,44,海鸥住工,10.11
16,抽水蓄能,BK1003,1799.16,29.51,1.67,1711399120000,1.15,35,5,百利电气,10.05
17,黄金概念,BK0547,20739.25,335.51,1.64,3367096688000,3.3,50,21,金诚信,10.0
18,GDR,BK0868,1008.99,15.58,1.57,1493649984000,0.86,11,0,国轩高科,3.56
19,低碳冶金,BK0979,918.59,14.11,1.56,253523684000,0.59,7,0,酒钢宏兴,2.07
20,互联网金融,BK0637,5013.57,75.34,1.53,21132771584000,0.59,151,36,锦龙股份,10.05
21,化债(AMC)概念,BK0980,1079.16,16.29,1.53,974183104000,1.68,49,8,青岛金王,9.92
22,磷化工,BK1010,984.01,14.54,1.5,1292698144000,2.11,37,10,新农股份,9.99
23,稀缺资源,BK0519,37343.86,550.22,1.5,5380457984000,2.14,64,14,江西铜业,10.01
24,钛白粉概念,BK0805,1351.26,19.25,1.45,194244665000,1.53,10,2,龙佰集团,3.44
25,代糖概念,BK0938,1083.52,14.99,1.4,163865663000,3.88,13,3,太阳纸业,8.79
26,草甘膦,BK0950,1648.32,22.53,1.39,176100024000,2.05,10,3,诺 普 信,5.46
27,数字货币,BK0883,1697.86,20.91,1.25,911760080000,3.07,49,31,金一文化,10.0
28,沪企改革,BK0672,2476.03,30.23,1.24,794129200000,0.84,29,8,市北高新,9.91
29,AB股,BK0498,11627.7,141.06,1.23,1265780784000,1.67,50,19,深中华A,10.0
30,生物疫苗,BK0548,26672.99,318.35,1.21,1068587824000,2.77,54,17,康希诺,20.0
31,参股券商,BK0514,14161.05,167.01,1.19,3702087024000,1.33,94,25,江西铜业,10.01
32,汽车拆解,BK0943,1253.45,14.74,1.19,230149982000,1.66,14,4,怡球资源,6.73
33,可控核聚变,BK1163,2319.81,27.02,1.18,2285976208000,1.77,61,21,百利电气,10.05
34,小金属概念,BK0695,4378.65,50.42,1.16,5417040384000,2.38,81,34,江西铜业,10.01
35,低价股,BK1053,1097.57,12.12,1.12,2026950768000,1.48,165,26,金一文化,10.0
36,造纸印刷,BK0470,9764.26,106.88,1.11,253801787000,2.65,27,14,青山纸业,10.16
37,周期股,BK1639,934.43,10.06,1.09,24199985408000,0.82,72,25,江西铜业,10.01
38,锂矿概念,BK1173,1927.56,20.61,1.08,4043399216000,2.12,33,6,西部矿业,7.62
39,动力电池回收,BK1052,893.49,9.57,1.08,2800281792000,2.12,35,12,超频三,16.32
40,中盘价值,BK1670,957.31,10.1,1.07,4574930432000,1.09,102,31,太阳纸业,8.79
41,刀片电池,BK0951,3245.34,33.91,1.06,1025855392000,2.45,8,4,星源材质,6.04
42,参股保险,BK0604,2623.57,27.24,1.05,6495474944000,0.46,53,19,法尔胜,10.07
43,大盘价值,BK1666,964.75,10.07,1.05,31668811520000,0.41,80,23,江西铜业,10.01
44,权重股,BK1662,1048.09,10.75,1.04,41749783808000,0.27,39,11,华虹宏力,7.71
45,智能电视,BK0656,1263.21,12.99,1.04,295459904000,1.41,8,3,海信视像,5.96
46,独家药品,BK0676,2427.63,24.99,1.04,668962064000,2.4,35,8,智飞生物,8.67
47,AH股,BK0499,9309.96,96.09,1.04,45881467136000,0.45,145,56,康希诺,20.0
48,上海自贸,BK0643,3297.42,33.74,1.03,916063424000,0.56,26,7,芯原股份,9.73
49,超跌股,BK1671,699.89,6.96,1.0,766494608000,2.09,88,44,联迪信息,13.0
50,低市净率,BK1723,1053.04,10.47,1.0,15349002496000,0.54,172,20,新城控股,6.12
51,长期破净,BK1635,934.92,9.2,0.99,14837378560000,0.56,156,23,*ST开元,7.89
52,破净股,BK1112,1448.13,14.18,0.99,24195163136000,0.58,339,52,郴电国际,9.95
53,农药兽药,BK0730,1194.59,11.59,0.98,306622992000,1.81,37,11,新农股份,9.99
54,绿色电力,BK1024,1268.77,12.07,0.96,6370198016000,1.26,139,34,立新能源,10.01
55,医废处理,BK0914,1230.97,11.59,0.95,204863424000,1.61,25,7,华康洁净,10.49
56,跨境支付,BK1071,1516.17,14.01,0.93,13565708544000,0.33,44,20,楚天龙,10.01
57,旅游酒店,BK0485,14438.44,132.97,0.93,306919840000,2.97,29,10,华天酒店,9.95
58,上证50_,BK0611,2090.12,19.23,0.93,28400001024000,0.28,37,13,洛阳钼业,6.35
59,上证180_,BK0612,1727.66,15.86,0.93,49956183552000,0.42,132,45,万泰生物,10.0
60,参股银行,BK0525,11969.41,107.88,0.91,11748980736000,0.97,153,70,江西铜业,10.01
61,生物质能发电,BK1098,1083.76,9.73,0.91,257191534000,1.68,26,6,高能环境,5.91
62,超超临界发电,BK1087,1464.03,13.27,0.91,1192432496000,1.11,37,10,上海能源,5.34
63,HS300_,BK0500,12095.9,107.45,0.9,68113903104000,0.55,221,74,万泰生物,10.0
64,东北振兴,BK0838,1166.9,10.37,0.9,682694016000,1.97,37,16,湘财股份,10.03
65,移动支付,BK0556,11861.3,104.68,0.89,3093033504000,2.08,41,26,金一文化,10.0
66,工程建设,BK0425,25310.92,223.03,0.89,1322078192000,0.88,50,15,*ST美丽,7.19
67,ETC,BK0875,1701.49,14.78,0.88,357787472000,2.42,23,17,楚天龙,10.01
68,IPO受益,BK0697,3149.04,27.59,0.88,2290916480000,1.54,35,18,锦龙股份,10.05
69,深证100R,BK0743,1319.78,11.5,0.88,17486993408000,1.21,70,28,铜陵有色,4.98
70,REITs概念,BK0992,738.87,6.45,0.88,628395776000,1.13,17,6,哈投股份,5.87
71,ST股,BK0511,6375.32,55.69,0.88,743029376000,1.71,132,62,ST豆神,12.92
72,MSCI中国,BK0821,1464.66,12.55,0.86,83900657664000,0.78,384,176,万泰生物,10.0
73,大盘股,BK1663,989.11,8.21,0.84,72525631488000,0.56,207,88,江西铜业,10.01
74,供销社概念,BK1109,1041.76,8.53,0.83,128807221000,2.16,10,4,亚钾国际,4.12
75,钠离子电池,BK0988,1678.18,13.86,0.83,3056671584000,1.69,52,21,*ST开元,7.89
76,红利破净股,BK1636,1067.98,8.66,0.82,14969953280000,0.24,32,7,威孚高科,4.63
77,股权集中,BK1698,1053.04,8.48,0.81,5055343104000,0.46,55,27,迪阿股份,20.01
78,WiFi,BK0915,1554.64,12.3,0.8,809979968000,1.5,16,14,剑桥科技,10.0
79,碳交易,BK0966,1793.57,14.07,0.79,2682484064000,1.11,102,38,杭电股份,9.99
80,阿兹海默,BK0894,1919.6,15.09,0.79,240318847000,4.29,13,8,赤天化,9.97
81,股权转让,BK0803,731.68,5.66,0.78,181158124000,2.47,22,17,华天酒店,9.95
82,蚂蚁金服概念,BK0937,728.63,5.63,0.78,5648670720000,0.87,39,19,协鑫能科,7.93
83,腾讯云,BK1189,1015.93,7.88,0.78,592928640000,2.25,12,8,亿嘉和,6.06
84,中证500,BK0701,2535.52,19.57,0.78,18505513728000,1.5,326,161,金诚信,10.0
85,反内卷概念,BK1197,1032.72,8.04,0.78,5133594112000,1.31,119,31,西藏天路,6.44
86,租售同权,BK0822,656.55,5.02,0.77,336079920000,2.05,13,8,市北高新,9.91
87,近期摘帽,BK1693,1154.01,8.73,0.76,580042928000,2.82,41,26,冀衡医药,10.04
88,央国企改革,BK0683,4790.74,36.29,0.76,49327061504000,1.1,976,408,千金药业,9.98
89,轮毂电机,BK1099,996.67,7.49,0.76,60901906000,2.73,4,4,威孚高科,4.63
90,超级电容,BK0703,5431.27,40.98,0.76,979305568000,3.02,26,13,康盛股份,10.12
91,深成500,BK0568,1414.35,10.66,0.76,29947419648000,1.63,324,163,新 大 陆,9.99
92,新能源,BK0493,17529.17,130.39,0.75,6788643328000,1.52,152,54,融发核电,10.05
93,证金持股,BK0718,1385.59,10.23,0.74,25466730240000,0.33,86,24,滨江集团,4.23
94,PPP模式,BK0721,770.19,5.67,0.74,2162692400000,1.29,108,37,*ST美丽,7.19
95,长江三角,BK0594,2807.14,20.16,0.72,9554709248000,1.61,281,108,法尔胜,10.07
96,标准普尔,BK0879,1693.71,12.19,0.72,64571504640000,0.99,723,289,浙江世宝,10.02
97,工业气体,BK0981,2742.5,19.51,0.72,782416816000,1.95,18,13,郴电国际,9.95
