代码,名称,最新价,IOPV实时估值,基金折价率,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,振幅,换手率,量比,委比,外盘,内盘,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,现手,买一,卖一,最新份额,流通市值,总市值,数据日期,更新时间
516770,游戏ETF华泰柏瑞,1.172,1.1681,-0.33,0.066,5.97,588111.0,67488840.0,1.098,1.182,1.097,1.106,7.69,15.47,1.27,-5.0,355424.0,232687.0,8154986.0,12.08,74677.0,0.11,8080309.0,11.97,-2023677.0,-3.0,-6131308.0,-9.08,-6423.0,1.172,1.173,380048000.0,445416256,445416256,2026-07-15,2026-07-15 16:11:57+08:00
159869,游戏ETF华夏,1.117,1.1136,-0.31,0.061,5.78,9313085.0,1021489741.202,1.053,1.126,1.047,1.056,7.48,11.41,1.28,-34.29,5838578.0,3474507.0,215531152.0,21.1,220449968.0,21.58,-4918816.0,-0.48,-115021704.0,-11.26,-100509438.0,-9.84,-91569.0,1.117,1.118,8160082176.0,9114811791,9114811791,2026-07-15,2026-07-15 15:34:51+08:00
516010,游戏ETF国泰,1.106,1.1062,0.02,0.057,5.43,1712725.0,186068003.0,1.041,1.118,1.04,1.049,7.44,6.96,1.33,-1.5,1117449.0,595276.0,44314023.0,23.82,34128802.0,18.34,10185221.0,5.47,-20871493.0,-11.22,-23442530.0,-12.6,-14169.0,1.106,1.107,2459693008.0,2720420467,2720420467,2026-07-15,2026-07-15 16:11:52+08:00
512690,酒ETF鹏华,0.416,0.4155,-0.12,0.02,5.05,36418138.0,1491674295.0,0.393,0.418,0.391,0.396,6.82,10.64,2.36,-23.45,23830169.0,12587968.0,213871165.0,14.34,333122896.0,22.33,-119251731.0,-7.99,-146030909.0,-9.79,-67840249.0,-4.55,-500047.0,0.415,0.416,34213750272.0,14232920113,14232920113,2026-07-15,2026-07-15 16:11:53+08:00
159657,疫苗ETF鹏华,0.617,0.613,-0.65,0.029,4.93,82995.0,5084837.034,0.584,0.619,0.584,0.588,5.95,4.95,2.77,-15.77,53268.0,29727.0,917812.0,18.05,2941741.0,57.85,-2023929.0,-39.8,-438779.0,-8.63,-479032.0,-9.42,-3057.0,0.617,0.618,167514819.0,103356643,103356643,2026-07-15,2026-07-15 15:34:27+08:00
159643,疫苗ETF国泰,0.57,0.566,-0.71,0.026,4.78,258165.0,14529692.863,0.545,0.574,0.54,0.544,6.25,9.41,1.49,-36.22,147513.0,110652.0,1232480.0,8.48,2628313.0,18.09,-1395833.0,-9.61,-371236.0,-2.56,-861244.0,-5.93,1778.0,0.567,0.57,274390624.0,156402656,156402656,2026-07-15,2026-07-15 15:34:18+08:00
159855,影视ETF银华,0.733,0.7309,-0.29,0.033,4.71,374366.0,27170490.1,0.698,0.738,0.698,0.7,5.71,19.61,1.45,-16.3,247648.0,126718.0,4652372.0,17.12,3794169.0,13.96,858203.0,3.16,-2353438.0,-8.66,-2298934.0,-8.46,-2015.0,0.733,0.734,190925236.0,139948198,139948198,2026-07-15,2026-07-15 15:34:00+08:00
520500,恒生创新药ETF华泰柏瑞,1.468,1.4614,-0.45,0.066,4.71,31778748.0,4673962224.0,1.405,1.502,1.403,1.402,7.06,145.79,1.57,-14.15,16666175.0,15112573.0,-96193872.0,-2.06,-173195888.0,-3.71,77002016.0,1.65,92661968.0,1.98,3531904.0,0.08,-85218.0,1.468,1.469,2179805008.0,3199953752,3199953752,2026-07-15,2026-07-15 16:11:40+08:00
159859,生物医药ETF天弘,0.403,0.401,-0.5,0.018,4.68,13503353.0,541129889.705,0.383,0.409,0.381,0.385,7.27,10.97,2.22,-47.54,8336888.0,5166464.0,65819463.0,12.16,148107356.0,27.37,-82287893.0,-15.21,-53163115.0,-9.82,-12656353.0,-2.34,63458.0,0.402,0.403,12307040000.0,4959737120,4959737120,2026-07-15,2026-07-15 15:34:48+08:00
159506,港股通创新药医疗ETF富国,1.264,1.2546,-0.75,0.055,4.55,14655042.0,1855550625.9,1.212,1.292,1.212,1.209,6.62,63.43,1.6,-19.02,7270303.0,7384739.0,-103475870.0,-5.58,-137486222.0,-7.41,34010352.0,1.83,83375872.0,4.49,20100011.0,1.08,35387.0,1.263,1.264,2310536976.0,2920518738,2920518738,2026-07-15,2026-07-15 15:34:12+08:00
