排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,卫浴电器,BK1452,1389.94,93.29,7.19,15467869000,4.41,3,0,日出东方,9.94
2,焦炭Ⅲ,BK1492,802.71,49.21,6.53,56231545000,5.36,7,0,宝泰隆,10.14
3,焦炭Ⅱ,BK1249,802.71,49.21,6.53,56231545000,5.36,7,0,宝泰隆,10.14
4,厨卫电器,BK1240,5888.43,257.45,4.57,51018196000,3.95,7,2,日出东方,9.94
5,厨房电器,BK1451,8686.92,274.31,3.26,35550326000,3.66,4,2,亿田智能,19.98
6,炼油化工,BK1569,3651.6,107.87,3.04,3147778144000,0.36,7,3,华锦股份,9.98
7,涂料,BK1469,973.29,17.98,1.88,25063299000,2.17,1,1,三棵树,4.31
8,粮油加工,BK1504,1460.69,25.54,1.78,164312791000,7.19,5,4,金健米业,9.99
9,煤炭,BK0437,13785.46,225.19,1.66,2325413264000,1.97,21,13,宝泰隆,10.14
10,城商行Ⅲ,BK1609,1621.12,25.71,1.61,1301034496000,0.82,17,0,南京银行,2.53
11,氨纶,BK1412,2868.92,45.29,1.6,56573000000,1.15,1,0,华峰化学,1.6
12,股份制银行Ⅲ,BK1610,2355.39,36.9,1.59,2860785568000,0.47,8,0,中信银行,4.48
13,国有大型银行Ⅲ,BK1611,3196.7,48.59,1.54,11098163968000,0.22,6,0,农业银行,2.58
14,房产租赁经纪,BK1341,1271.25,18.85,1.51,16961403000,9.17,1,2,我爱我家,10.19
15,银行,BK1283,4218.7,60.74,1.46,15520270592000,0.35,40,0,中信银行,4.48
16,银行Ⅱ,BK0475,4218.7,60.74,1.46,15520270592000,0.35,40,0,中信银行,4.48
17,房地产服务,BK1045,1051.02,12.52,1.21,60705068000,4.56,7,8,南都物业,10.0
18,物业管理,BK1343,1720.44,20.08,1.18,39938768000,1.77,5,6,南都物业,10.0
19,焦煤,BK1494,1248.87,13.14,1.06,221112721000,1.96,8,2,辽宁能源,5.37
20,农商行Ⅲ,BK1612,454.82,4.66,1.04,260286619000,1.07,9,0,渝农商行,1.96
21,其他养殖,BK1510,967.61,6.74,0.7,10111497000,4.16,1,2,天山生物,12.19
22,港口,BK1481,1592.29,10.27,0.65,501995840000,0.51,8,7,南 京 港,9.95
23,空调,BK1450,15052.87,93.38,0.62,915714048000,0.9,2,2,格力电器,3.15
24,房地产综合服务,BK1342,1309.64,7.62,0.59,3804895000,3.3,1,0,珠江股份,0.58
25,黄金,BK1617,6705.88,31.14,0.47,563359424000,3.7,4,6,山东黄金,6.5
26,煤炭开采,BK1250,1901.89,7.54,0.4,2269181712000,1.46,14,13,大有能源,10.0
27,航运港口,BK0450,12058.64,43.43,0.36,1218793712000,0.97,17,17,南 京 港,9.95
28,保险Ⅲ,BK1358,1291.59,2.57,0.2,2758986144000,0.27,2,3,中国平安,1.48
29,保险Ⅱ,BK0474,1291.59,2.57,0.2,2758986144000,0.27,2,3,中国平安,1.48
30,航运,BK1482,1598.55,1.86,0.12,716797856000,1.8,9,10,中谷物流,5.81
31,纺织鞋类制造,BK1347,406.31,0.35,0.09,40308180000,0.27,1,0,华利集团,0.09
32,其他化学原料,BK1420,3066.11,1.35,0.04,170113875000,2.37,6,12,中毅达,10.01
33,动力煤,BK1493,2425.15,0.16,0.01,2048068992000,1.29,6,11,大有能源,10.0
34,电信运营商,BK1587,1026.27,-1.07,-0.1,2846241728000,0.38,2,1,中国移动,1.49
35,核力发电,BK1376,595.54,-2.49,-0.42,474475984000,0.33,1,2,中国广核,1.29
36,高速公路,BK1483,2606.83,-14.19,-0.54,348656304000,0.53,6,12,四川成渝,1.27
37,保健品,BK1579,3544.42,-19.33,-0.54,50143688000,2.74,2,7,百合股份,10.0
38,机场,BK1480,1746.25,-10.99,-0.63,127473475000,0.63,1,4,白云机场,0.27
39,种子,BK1518,4336.54,-29.9,-0.68,58146946000,18.36,5,5,万向德农,9.95
40,人力资源服务,BK1568,1832.26,-15.63,-0.85,20806744000,0.6,0,3,科锐国际,-0.75
41,航空机场,BK0420,4009.66,-35.26,-0.87,554040944000,0.59,2,12,海控B股,0.49
42,教育出版,BK1290,2065.14,-18.26,-0.88,119156047000,0.96,4,6,山东出版,1.6
43,贵金属,BK0732,2535.86,-22.76,-0.89,674490528000,4.05,4,9,山东黄金,6.5
44,管材,BK1466,1794.9,-16.18,-0.89,33085276000,1.51,3,4,*ST纳川,4.07
45,成品家居,BK1537,2462.56,-23.05,-0.93,104752795000,1.99,4,13,好太太,9.98
46,铁路公路,BK0421,8271.74,-78.0,-0.93,767353376000,0.55,10,22,四川成渝,1.27
47,商用载货车,BK1530,1839.3,-18.46,-0.99,170809959000,1.23,3,6,中集车辆,1.65
48,航空运输,BK1479,1296.02,-13.2,-1.01,426567472000,0.58,1,8,海控B股,0.49
49,锦纶,BK1414,590.51,-6.02,-1.01,23170825000,1.9,1,4,海阳科技,6.2
50,铁路运输,BK1485,1451.16,-15.69,-1.07,389773040000,0.45,3,4,京沪高铁,1.02
51,交通运输,BK1210,2387.2,-26.41,-1.09,3175585120000,0.76,33,94,南 京 港,9.95
52,炼化及贸易,BK1274,3354.87,-37.54,-1.11,3290509568000,0.43,7,23,华锦股份,9.98
53,氮肥,BK1432,1894.03,-21.3,-1.11,92773596000,5.24,0,6,华鲁恒升,-0.38
54,血液制品,BK1597,4175.22,-48.42,-1.15,82752684000,0.68,1,4,派林生物,0.28
55,水力发电,BK1380,3856.97,-45.06,-1.15,1233160512000,0.55,4,7,国投电力,2.33
56,快递,BK1489,5350.24,-63.13,-1.17,278251312000,0.67,1,3,顺丰控股,0.24
57,商业地产,BK1345,1239.8,-15.13,-1.21,201711576000,0.88,2,9,中国国贸,2.05
58,冶钢辅料,BK1372,5899.73,-73.11,-1.22,84563423000,1.14,1,3,鄂尔多斯,1.48
59,纯碱,BK1417,970.97,-12.22,-1.24,46719534000,1.28,1,4,三友化工,0.15
60,复合肥,BK1433,3292.63,-43.8,-1.31,79781867000,3.76,2,8,红四方,10.02
61,石油石化,BK0464,6470.91,-87.91,-1.34,5172832256000,0.65,11,37,华锦股份,9.98
62,啤酒,BK1577,2376.83,-34.52,-1.43,150439948000,0.83,0,6,珠江啤酒,0.0
63,板材,BK1367,797.88,-11.65,-1.44,459183760000,0.78,2,16,南钢股份,1.27
64,信托,BK1363,1861.17,-27.55,-1.46,66802029000,0.74,0,3,国网英大,-1.02
65,综合乘用车,BK1520,2427.62,-36.29,-1.47,372585680000,0.42,0,6,上汽集团,-0.2
66,中药Ⅲ,BK1608,1351.59,-20.37,-1.48,769258992000,2.24,12,54,汉森制药,10.07
67,中药Ⅱ,BK1040,1351.59,-20.37,-1.48,769258992000,2.24,12,54,汉森制药,10.07
68,钾肥,BK1434,2368.44,-37.48,-1.56,332628832000,1.49,1,3,亚钾国际,1.54
69,油气及炼化工程,BK1572,1799.2,-28.74,-1.57,71455648000,3.5,2,4,海油工程,1.99
70,白色家电,BK1239,3104.2,-50.02,-1.59,1154612240000,1.04,3,9,格力电器,3.15
71,油服工程,BK1275,1908.09,-31.06,-1.6,233876543000,1.99,4,9,科力股份,2.42
72,原料药,BK1595,3845.92,-63.28,-1.62,353870512000,3.48,9,37,亨迪药业,19.97
73,普钢,BK1226,728.62,-12.0,-1.62,501130672000,0.78,2,22,南钢股份,1.27
74,证券Ⅲ,BK1366,135496.77,-2236.28,-1.62,3474142256000,0.82,2,47,国泰海通,0.62
75,证券Ⅱ,BK0473,135496.77,-2236.28,-1.62,3474142256000,0.82,2,47,国泰海通,0.62
76,油田服务,BK1573,1669.8,-27.57,-1.62,162420895000,1.32,2,5,科力股份,2.42
77,商用车,BK1264,2473.1,-41.02,-1.63,255870525000,1.31,4,10,中集车辆,1.65
78,粮食种植,BK1515,987.01,-16.65,-1.66,36751263000,6.38,1,1,北大荒,2.97
79,乘用车,BK1262,3479.95,-59.57,-1.68,1300814944000,0.56,0,9,上汽集团,-0.2
80,水泥制造,BK1464,1963.67,-33.62,-1.68,242399160000,0.7,3,11,西藏天路,1.25
81,旅游综合,BK1561,1567.9,-27.15,-1.7,37058851000,1.49,1,8,岭南控股,0.53
82,房地产,BK1202,1911.49,-33.59,-1.73,930262144000,2.01,15,87,南都物业,10.0
83,化学原料,BK1019,1019.07,-18.01,-1.74,811065024000,1.94,9,55,中毅达,10.01
84,冶钢原料,BK1228,3625.94,-64.2,-1.74,150477139000,1.2,1,8,鄂尔多斯,1.48
85,产业地产,BK1344,2254.05,-40.02,-1.74,125581164000,0.89,1,13,浦东金桥,0.53
86,农产品加工,BK1256,2294.68,-40.92,-1.75,284368592000,5.03,7,21,金健米业,9.99
87,煤化工,BK1419,1865.91,-33.89,-1.78,249872420000,2.49,1,9,宝丰能源,0.47
88,农药,BK1436,2836.78,-51.54,-1.78,211966723000,2.53,6,28,红太阳,5.77
89,非银金融,BK1203,2337.11,-42.73,-1.8,6724285184000,0.72,5,75,中国平安,1.48
90,原材料供应链服务,BK1490,2772.0,-51.42,-1.82,107193429000,0.9,2,10,建发股份,1.38
91,摩托车,BK1521,3609.54,-67.11,-1.83,162969407000,0.97,2,7,春风动力,3.88
92,租赁,BK1365,2918.06,-54.33,-1.83,75788050000,1.04,0,3,江苏金租,-0.9
93,水泥,BK0424,25009.07,-468.71,-1.84,271192048000,0.83,3,20,西藏天路,1.25
94,基建市政工程,BK1472,1952.34,-36.61,-1.84,713499648000,0.66,6,21,四川路桥,0.71
95,肉鸡养殖,BK1511,3236.25,-60.71,-1.84,66866849000,3.23,1,7,晓鸣股份,2.07
96,公交,BK1484,1504.65,-28.31,-1.85,28924021000,2.51,1,6,申通地铁,0.27
97,聚氨酯,BK1426,3389.18,-64.09,-1.86,268970640000,4.31,4,6,红 宝 丽,5.86
98,非白酒,BK1279,1976.57,-37.62,-1.87,211237333000,1.14,0,17,珠江啤酒,0.0
99,棉纺,BK1349,2516.26,-48.01,-1.87,45784781000,2.14,0,8,鲁  泰Ａ,0.0
100,火力发电,BK1377,2375.4,-45.65,-1.89,1007401296000,1.56,3,29,国电电力,1.99
101,农化制品,BK0731,1651.99,-31.81,-1.89,914396704000,2.95,10,53,红四方,10.02
102,汽车经销商,BK1523,1320.85,-26.37,-1.96,18140460000,0.82,0,6,物贸Ｂ股,-0.3
103,房屋建设Ⅲ,BK1470,1812.73,-36.26,-1.96,249562314000,0.94,2,6,ST龙元,1.3
104,房屋建设Ⅱ,BK1246,1812.73,-36.26,-1.96,249562314000,0.94,2,6,ST龙元,1.3
105,油气开采Ⅲ,BK1574,3437.58,-70.51,-2.01,1648446208000,1.43,0,5,中国海油,-0.68
106,油气开采Ⅱ,BK1276,3437.58,-70.51,-2.01,1648446208000,1.43,0,5,中国海油,-0.68
107,钢铁,BK0479,7761.63,-159.84,-2.02,821130176000,0.84,4,41,鄂尔多斯,1.48
108,辅料,BK1348,2977.71,-61.71,-2.03,23923506000,2.68,2,2,浔兴股份,1.99
109,视频媒体,BK1296,717.4,-14.99,-2.05,27761496000,1.21,0,1,芒果超媒,-2.05
110,旅游及景区,BK1272,2820.32,-59.08,-2.05,126298336000,1.38,1,26,岭南控股,0.53
111,涤纶,BK1413,1587.0,-33.25,-2.05,74771546000,1.89,3,7,天富龙,3.92
112,摩托车及其他,BK1263,3720.16,-77.96,-2.05,242783833000,1.18,4,16,春风动力,3.88
113,软饮料,BK1586,1900.73,-40.17,-2.07,193770956000,1.88,3,5,养元饮品,1.62
114,跨境物流,BK1488,1578.65,-33.54,-2.08,171938013000,0.81,1,13,嘉友国际,1.07
115,水泥制品,BK1463,1999.9,-42.54,-2.08,28792880000,1.56,0,9,四方新材,-0.26
116,培训教育,BK1557,4912.89,-104.58,-2.08,61667806000,3.55,2,10,学大教育,9.99
117,出版,BK1218,1821.95,-38.91,-2.09,236757943000,1.01,6,22,中原传媒,1.87
118,钢铁管材,BK1368,577.86,-12.4,-2.1,24952469000,0.98,0,3,友发集团,-0.97
