date,code,name,rank,streak_days,flag,market,regime
2025-07-09,603256,宏和科技,41,0,,A股,未定
2025-07-09,002384,东山精密,115,0,,A股,未定
2025-07-09,300502,新易盛,182,0,,A股,未定
2025-07-09,300308,中际旭创,206,0,,A股,未定
2025-07-09,603986,兆易创新,474,0,,A股,未定
2025-07-09,688256,寒武纪,529,0,,A股,未定
2025-07-09,001309,德明利,562,0,,A股,未定
2025-07-09,000021,深科技,750,0,,A股,未定
2025-07-09,600667,太极实业,795,0,,A股,未定
2025-07-09,301308,江波龙,808,0,,A股,未定
2025-07-09,002371,北方华创,888,0,,A股,未定
2025-07-09,688008,澜起科技,1074,0,,A股,未定
2025-07-09,300223,北京君正,1611,0,,A股,未定
2025-07-09,688525,佰维存储,2872,0,,A股,未定
2025-07-09,688361,中科飞测,5030,0,,A股,未定
2025-07-09,688409,富创精密,5040,0,,A股,未定
2025-07-10,603256,宏和科技,97,0,,A股,未定
2025-07-10,300502,新易盛,202,0,,A股,未定
2025-07-10,300308,中际旭创,237,0,,A股,未定
2025-07-10,002384,东山精密,370,0,,A股,未定
2025-07-10,688256,寒武纪,392,0,,A股,未定
2025-07-10,603986,兆易创新,552,0,,A股,未定
2025-07-10,002371,北方华创,857,0,,A股,未定
2025-07-10,688008,澜起科技,995,0,,A股,未定
2025-07-10,000021,深科技,1021,0,,A股,未定
2025-07-10,001309,德明利,1143,0,,A股,未定
2025-07-10,301308,江波龙,1617,0,,A股,未定
2025-07-10,600667,太极实业,1703,0,,A股,未定
2025-07-10,300223,北京君正,1791,0,,A股,未定
2025-07-10,688525,佰维存储,2393,0,,A股,未定
2025-07-10,688409,富创精密,4954,0,,A股,未定
2025-07-10,688361,中科飞测,5004,0,,A股,未定
2025-07-11,688256,寒武纪,158,0,,A股,未定
2025-07-11,603256,宏和科技,212,0,,A股,未定
2025-07-11,300502,新易盛,239,0,,A股,未定
2025-07-11,300308,中际旭创,288,0,,A股,未定
2025-07-11,002384,东山精密,364,0,,A股,未定
2025-07-11,688008,澜起科技,527,0,,A股,未定
2025-07-11,603986,兆易创新,570,0,,A股,未定
2025-07-11,002371,北方华创,763,0,,A股,未定
2025-07-11,000021,深科技,914,0,,A股,未定
2025-07-11,300223,北京君正,1190,0,,A股,未定
2025-07-11,301308,江波龙,1496,0,,A股,未定
2025-07-11,001309,德明利,1547,0,,A股,未定
2025-07-11,600667,太极实业,1900,0,,A股,未定
2025-07-11,688525,佰维存储,1980,0,,A股,未定
2025-07-11,688409,富创精密,4773,0,,A股,未定
2025-07-11,688361,中科飞测,4801,0,,A股,未定
2025-07-12,603256,宏和科技,192,0,,A股,未定
2025-07-12,300502,新易盛,281,0,,A股,未定
2025-07-12,300308,中际旭创,286,0,,A股,未定
2025-07-12,688256,寒武纪,300,0,,A股,未定
2025-07-12,002384,东山精密,359,0,,A股,未定
2025-07-12,688008,澜起科技,490,0,,A股,未定
2025-07-12,603986,兆易创新,575,0,,A股,未定
2025-07-12,002371,北方华创,639,0,,A股,未定
2025-07-12,000021,深科技,951,0,,A股,未定
2025-07-12,301308,江波龙,961,0,,A股,未定
2025-07-12,300223,北京君正,1405,0,,A股,未定
2025-07-12,001309,德明利,2101,0,,A股,未定
2025-07-12,600667,太极实业,2261,0,,A股,未定
2025-07-12,688525,佰维存储,2442,0,,A股,未定
2025-07-12,688409,富创精密,4721,0,,A股,未定
2025-07-12,688361,中科飞测,4992,0,,A股,未定
2025-07-13,688008,澜起科技,139,0,,A股,未定
2025-07-13,603256,宏和科技,227,0,,A股,未定
2025-07-13,688256,寒武纪,231,0,,A股,未定
2025-07-13,300502,新易盛,287,0,,A股,未定
2025-07-13,300308,中际旭创,292,0,,A股,未定
2025-07-13,002384,东山精密,460,0,,A股,未定
2025-07-13,603986,兆易创新,631,0,,A股,未定
2025-07-13,002371,北方华创,654,0,,A股,未定
2025-07-13,000021,深科技,1063,0,,A股,未定
2025-07-13,300223,北京君正,1396,0,,A股,未定
2025-07-13,301308,江波龙,1463,0,,A股,未定
2025-07-13,001309,德明利,2099,0,,A股,未定
2025-07-13,688525,佰维存储,2106,0,,A股,未定
2025-07-13,600667,太极实业,2156,0,,A股,未定
2025-07-13,688409,富创精密,4557,0,,A股,未定
2025-07-13,688361,中科飞测,4775,0,,A股,未定
2025-07-14,300502,新易盛,66,0,,A股,未定
2025-07-14,300308,中际旭创,106,0,,A股,未定
2025-07-14,002384,东山精密,133,0,,A股,未定
2025-07-14,603256,宏和科技,299,0,,A股,未定
2025-07-14,688256,寒武纪,439,0,,A股,未定
2025-07-14,603986,兆易创新,665,0,,A股,未定
