date,source,metric,value
2026-06-01,agg,人气排名均值,463.9
2026-06-01,data-宇宙,上涨家数,132.0
2026-06-01,data-宇宙,下跌家数,176.0
2026-06-01,data-宇宙,赚钱效应_涨跌比,42.86
2026-06-01,sse,融资余额,1468189116504.0
2026-06-02,agg,人气排名均值,406.0
2026-06-02,data-宇宙,上涨家数,186.0
2026-06-02,data-宇宙,下跌家数,122.0
2026-06-02,data-宇宙,赚钱效应_涨跌比,60.39
2026-06-02,sse,融资余额,1469024532904.0
2026-06-03,agg,人气排名均值,363.0
2026-06-03,data-宇宙,上涨家数,149.0
2026-06-03,data-宇宙,下跌家数,162.0
2026-06-03,data-宇宙,赚钱效应_涨跌比,47.91
2026-06-03,sse,融资余额,1474244276164.0
2026-06-04,agg,人气排名均值,303.1
2026-06-04,data-宇宙,上涨家数,122.0
2026-06-04,data-宇宙,下跌家数,187.0
2026-06-04,data-宇宙,赚钱效应_涨跌比,39.48
2026-06-04,sse,融资余额,1476743330571.0
2026-06-05,agg,人气排名均值,440.1
2026-06-05,data-宇宙,上涨家数,111.0
2026-06-05,data-宇宙,下跌家数,196.0
2026-06-05,data-宇宙,赚钱效应_涨跌比,36.16
2026-06-05,sse,融资余额,1465446567832.0
2026-06-06,agg,人气排名均值,474.9
2026-06-07,agg,人气排名均值,486.6
2026-06-08,agg,人气排名均值,491.8
2026-06-08,data-宇宙,上涨家数,71.0
2026-06-08,data-宇宙,下跌家数,240.0
2026-06-08,data-宇宙,赚钱效应_涨跌比,22.83
2026-06-08,sse,融资余额,1453703702150.0
2026-06-09,agg,人气排名均值,231.1
2026-06-09,data-宇宙,上涨家数,233.0
2026-06-09,data-宇宙,下跌家数,76.0
2026-06-09,data-宇宙,赚钱效应_涨跌比,75.4
2026-06-09,sse,融资余额,1452222353096.0
2026-06-10,agg,人气排名均值,331.2
2026-06-10,data-宇宙,上涨家数,133.0
2026-06-10,data-宇宙,下跌家数,175.0
2026-06-10,data-宇宙,赚钱效应_涨跌比,43.18
2026-06-10,sse,融资余额,1447857826630.0
2026-06-11,agg,人气排名均值,232.6
2026-06-11,data-宇宙,上涨家数,150.0
2026-06-11,data-宇宙,下跌家数,160.0
2026-06-11,data-宇宙,赚钱效应_涨跌比,48.39
2026-06-11,sse,融资余额,1448246655510.0
2026-06-12,agg,人气排名均值,254.8
2026-06-12,data-宇宙,上涨家数,200.0
2026-06-12,data-宇宙,下跌家数,108.0
2026-06-12,data-宇宙,赚钱效应_涨跌比,64.94
2026-06-12,sse,融资余额,1448895770788.0
2026-06-13,agg,人气排名均值,236.6
2026-06-14,agg,人气排名均值,244.7
2026-06-15,agg,人气排名均值,288.8
2026-06-15,data-宇宙,上涨家数,217.0
2026-06-15,data-宇宙,下跌家数,90.0
2026-06-15,data-宇宙,赚钱效应_涨跌比,70.68
2026-06-15,sse,融资余额,1461767264864.0
2026-06-16,agg,人气排名均值,354.0
2026-06-16,data-宇宙,上涨家数,127.0
2026-06-16,data-宇宙,下跌家数,181.0
2026-06-16,data-宇宙,赚钱效应_涨跌比,41.23
2026-06-16,sse,融资余额,1473688751456.0
2026-06-17,agg,人气排名均值,178.9
2026-06-17,data-宇宙,上涨家数,187.0
2026-06-17,data-宇宙,下跌家数,122.0
2026-06-17,data-宇宙,赚钱效应_涨跌比,60.52
2026-06-17,sse,融资余额,1488211916696.0
2026-06-18,agg,人气排名均值,223.8
2026-06-18,data-宇宙,上涨家数,133.0
2026-06-18,data-宇宙,下跌家数,178.0
2026-06-18,data-宇宙,赚钱效应_涨跌比,42.77
2026-06-18,data-池,涨停家数,91.0
2026-06-18,data-池,炸板家数,42.0
2026-06-18,data-池,跌停家数,12.0
2026-06-18,sse,融资余额,1495185799372.0
2026-06-19,agg,人气排名均值,177.5
2026-06-20,agg,人气排名均值,182.0
2026-06-21,agg,人气排名均值,179.8
2026-06-22,agg,人气排名均值,296.9
2026-06-22,data-宇宙,上涨家数,238.0
2026-06-22,data-宇宙,下跌家数,71.0
2026-06-22,data-宇宙,赚钱效应_涨跌比,77.02
2026-06-22,data-池,涨停家数,134.0
2026-06-22,data-池,炸板家数,26.0
2026-06-22,data-池,跌停家数,4.0
2026-06-22,sse,融资余额,1505558433764.0
2026-06-23,agg,人气排名均值,305.1
2026-06-23,data-宇宙,上涨家数,83.0
2026-06-23,data-宇宙,下跌家数,226.0
2026-06-23,data-宇宙,赚钱效应_涨跌比,26.86
2026-06-23,data-池,涨停家数,96.0
2026-06-23,data-池,炸板家数,50.0
2026-06-23,data-池,跌停家数,39.0
2026-06-23,sse,融资余额,1504565483004.0
2026-06-24,agg,人气排名均值,155.9
2026-06-24,data-宇宙,上涨家数,154.0
2026-06-24,data-宇宙,下跌家数,154.0
2026-06-24,data-宇宙,赚钱效应_涨跌比,50.0
2026-06-24,data-池,涨停家数,98.0
2026-06-24,data-池,炸板家数,23.0
2026-06-24,data-池,跌停家数,12.0
2026-06-24,sse,融资余额,1510274044181.0
2026-06-25,agg,人气排名均值,157.4
2026-06-25,data-宇宙,上涨家数,171.0
2026-06-25,data-宇宙,下跌家数,141.0
2026-06-25,data-宇宙,赚钱效应_涨跌比,54.81
2026-06-25,data-池,涨停家数,86.0
2026-06-25,data-池,炸板家数,31.0
2026-06-25,data-池,跌停家数,17.0
2026-06-25,sse,融资余额,1521114083765.0
2026-06-26,agg,人气排名均值,100.6
2026-06-26,data-宇宙,上涨家数,78.0
2026-06-26,data-宇宙,下跌家数,233.0
2026-06-26,data-宇宙,赚钱效应_涨跌比,25.08
2026-06-26,data-池,涨停家数,60.0
2026-06-26,data-池,炸板家数,35.0
2026-06-26,data-池,跌停家数,30.0
2026-06-26,sse,融资余额,1513064112108.0
2026-06-27,agg,人气排名均值,107.1
2026-06-28,agg,人气排名均值,116.2
2026-06-29,agg,人气排名均值,116.4
2026-06-29,data-宇宙,上涨家数,208.0
2026-06-29,data-宇宙,下跌家数,100.0
2026-06-29,data-宇宙,赚钱效应_涨跌比,67.53
2026-06-29,data-池,涨停家数,107.0
2026-06-29,data-池,炸板家数,38.0
2026-06-29,data-池,跌停家数,38.0
2026-06-29,sse,融资余额,1505221517345.0
2026-06-30,agg,人气排名均值,131.9
2026-06-30,data-宇宙,上涨家数,157.0
2026-06-30,data-宇宙,下跌家数,155.0
2026-06-30,data-宇宙,赚钱效应_涨跌比,50.32
2026-06-30,data-池,涨停家数,140.0
2026-06-30,data-池,炸板家数,26.0
2026-06-30,data-池,跌停家数,5.0
2026-06-30,sse,融资余额,1516908428874.0
2026-07-01,agg,人气排名均值,186.8
2026-07-01,data-宇宙,上涨家数,177.0
2026-07-01,data-宇宙,下跌家数,132.0
2026-07-01,data-宇宙,赚钱效应_涨跌比,57.28
2026-07-01,data-池,涨停家数,152.0
2026-07-01,data-池,炸板家数,74.0
2026-07-01,data-池,跌停家数,6.0
2026-07-01,sse,融资余额,1519687927976.0
2026-07-02,agg,人气排名均值,143.8
2026-07-02,data-宇宙,上涨家数,97.0
2026-07-02,data-宇宙,下跌家数,214.0
2026-07-02,data-宇宙,赚钱效应_涨跌比,31.19
2026-07-02,data-池,涨停家数,93.0
2026-07-02,data-池,炸板家数,40.0
2026-07-02,data-池,跌停家数,40.0
2026-07-02,sse,融资余额,1514964123028.0
2026-07-03,agg,人气排名均值,219.7
2026-07-03,data-全A,上涨家数,3804.0
2026-07-03,data-全A,下跌家数,1628.0
2026-07-03,data-全A,赚钱效应_涨跌比,70.03
2026-07-03,data-池,涨停家数,108.0
2026-07-03,data-池,炸板家数,52.0
2026-07-03,data-池,跌停家数,19.0
2026-07-03,sse,融资余额,1501764189120.0
2026-07-04,agg,人气排名均值,224.4
2026-07-05,agg,人气排名均值,248.8
2026-07-06,agg,人气排名均值,236.5
2026-07-06,data-全A,上涨家数,1876.0
2026-07-06,data-全A,下跌家数,3541.0
2026-07-06,data-全A,赚钱效应_涨跌比,34.63
2026-07-06,data-池,涨停家数,64.0
2026-07-06,data-池,炸板家数,41.0
