date,散户资金净流向,人气热度,两融变化,赚钱效应,涨停强度,言论贪恐差,navigator,navigator_3d,n_分量,market,regime
2026-06-01,,-463.9,,42.86,,-9.0,-1.317578911063135,-1.317578911063135,3,A股,退潮
2026-06-02,,-406.0,0.056901143770171636,60.39,,-5.0,-0.3533341287408063,-0.8354565199019707,4,A股,牛
2026-06-03,,-363.0,0.35532036008150136,47.91,,-5.0,-0.2996127686698165,-0.6568419361579193,4,A股,震荡
2026-06-04,,-303.1,0.16951426893123678,39.48,,-4.0,-0.36330172431684316,-0.338749540575822,4,A股,退潮
2026-06-05,,-440.1,-0.7649780774450443,36.16,,-5.0,-1.2798655320024117,-0.6475933416630238,4,A股,退潮
2026-06-06,,-474.9,0.0,,,-4.0,-0.8756170081822919,-0.839594754833849,3,A股,未定
2026-06-07,,-486.6,0.0,,,2.0,-0.49292239995348597,-0.8828016467127299,3,A股,未定
2026-06-08,,-491.8,-0.8013165365266417,22.83,,4.0,-1.158769301674146,-0.8424362366033081,4,A股,退潮
2026-06-09,,-231.1,-0.1019017184732407,75.4,,-10.0,-0.08973107763002508,-0.5804742597525524,4,A股,牛
2026-06-10,,-331.2,-0.30054119857715333,43.18,,-11.0,-0.9884565850731056,-0.7456523214590923,4,A股,震荡
2026-06-11,,-232.6,0.026855460035402068,48.39,,6.0,0.3695794934061877,-0.23620272309898102,4,A股,震荡
2026-06-12,,-254.8,0.04482076830838455,64.94,,0.0,0.29131258514821917,-0.10918816883956627,4,A股,牛
2026-06-13,,-236.6,0.0,,,0.0,0.06864102257679772,0.24317770037706818,3,A股,未定
2026-06-14,,-244.7,0.0,,,-1.0,-0.023283384228758464,0.11222340783208616,3,A股,未定
2026-06-15,,-288.8,0.888365770368682,70.68,,10.0,1.3047285633001247,0.45002873388272135,4,A股,牛
2026-06-16,,-354.0,0.8155529870282896,41.23,,9.0,0.5948609071000807,0.625435362057149,4,A股,退潮
2026-06-17,,-178.9,0.9854974617707457,60.52,,1.0,0.9567923550523101,0.9521272751508385,4,A股,牛
2026-06-18,,-223.8,0.46860817318832293,42.77,91.0,2.0,0.2606977318955925,0.6041169980159945,5,A股,退潮
2026-06-19,,-177.5,0.0,,,-2.0,0.09564698500417938,0.43771235731736075,3,A股,未定
2026-06-20,,-182.0,0.0,,,5.0,0.5677458234325038,0.3080301801107586,3,A股,未定
2026-06-21,,-179.8,0.0,,,3.0,0.4354206204337194,0.3662711429568009,3,A股,未定
2026-06-22,,-296.9,0.6937354806577645,77.02,134.0,9.0,1.2496116920472047,0.750926045304476,5,A股,牛
2026-06-23,,-305.1,-0.0659523229209702,26.86,96.0,-1.0,-0.41555402204272507,0.4231594301460664,5,A股,退潮
2026-06-24,,-155.9,0.3794159338018632,50.0,98.0,1.0,0.43213522474458277,0.42206429824968755,5,A股,震荡
2026-06-25,,-157.4,0.71775315385747,54.81,86.0,-6.0,0.27669078983845424,0.09775733084677073,5,A股,震荡
2026-06-26,,-100.6,-0.5292155100605656,25.08,60.0,-3.0,-0.6144328017539079,0.03146440427637642,5,A股,退潮
2026-06-27,,-107.1,0.0,,,3.0,0.6389948862769931,0.10041762478717987,3,A股,未定
2026-06-28,,-116.2,0.0,,,-3.0,0.19805619648642514,0.07420609366983684,3,A股,未定
2026-06-29,,-116.4,-0.5183253439323021,67.53,107.0,4.0,0.507279971640181,0.44811035146786643,5,A股,牛
2026-06-30,,-131.9,0.776424691935973,50.32,140.0,2.0,0.9628137056739441,0.5560499579335169,5,A股,震荡
2026-07-01,,-186.8,0.18323446881123306,57.28,152.0,-1.0,0.6475448327936093,0.7058795033692449,5,A股,牛
2026-07-02,,-143.8,-0.3108404601391723,31.19,93.0,-2.0,-0.2582693262383907,0.45069640407638767,5,A股,退潮
2026-07-03,,,-0.8713033996882391,,108.0,-2.0,-0.6222006477038421,-0.07764171371620776,3,A股,修复
2026-07-04,,,0.0,,,5.0,0.5183122530804366,-0.12071924028726533,2,A股,未定
2026-07-05,,,0.0,,,0.0,-0.0010088770536847806,-0.034965757225696684,2,A股,未定
2026-07-06,,,-0.5092230293146871,,64.0,2.0,-0.5412812072485064,-0.007992610407251447,3,A股,熊
2026-07-07,,,-0.39415329788256015,,33.0,-5.0,-1.2685565385650606,-0.6036155409557505,3,A股,熊
2026-07-08,,,-0.5226835499115623,,47.0,0.0,-0.8698996618943062,-0.893245802569291,3,A股,熊
2026-07-09,,,0.0,,75.0,3.0,0.024314639334926207,-0.7047138537081468,3,A股,震荡
2026-07-10,,,0.0,,92.0,-1.0,-0.07256382564811135,-0.3060496160691637,3,A股,修复
2026-07-11,,,0.0,,,,-0.04875665581944049,-0.03233528071087514,1,A股,未定
