date,名称,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比
2026-07-19,电力,1.24,553171712.0,0.9
2026-07-19,国有大型银行Ⅲ,2.0,511238928.0,3.15
2026-07-19,火力发电,1.74,508012560.0,2.03
2026-07-19,公用事业,0.59,466998016.0,0.69
2026-07-19,炼油化工,0.47,374590128.0,4.49
2026-07-19,炼化及贸易,-1.7,345686816.0,3.04
2026-07-19,体外诊断,-5.3,279551824.0,3.53
2026-07-19,锂电池,-4.82,199153152.0,0.45
2026-07-19,风力发电,0.93,198469648.0,2.59
2026-07-19,聚氨酯,-3.63,180643328.0,3.74
2026-07-19,电能综合服务,2.84,161979008.0,3.34
2026-07-19,纯碱,0.09,61798513.0,5.57
2026-07-19,氮肥,1.23,53902166.0,2.16
2026-07-19,会展服务,3.88,37973169.0,12.18
2026-07-19,油品石化贸易,-1.95,37309364.0,3.84
2026-07-19,电信运营商,0.65,27391408.0,0.77
2026-07-19,工程咨询服务Ⅱ,-3.86,26206928.0,0.31
2026-07-19,工程咨询服务Ⅲ,-3.86,26206928.0,0.31
2026-07-19,定制家居,-3.64,22408808.0,1.92
2026-07-19,超市,-2.76,17696539.0,0.56
2026-07-19,电商服务,-4.38,14671317.0,0.64
2026-07-19,石油石化,-1.37,14325408.0,0.07
2026-07-19,期货,-1.51,12473147.0,2.47
2026-07-19,宠物食品,-2.52,9854908.0,1.31
2026-07-19,油气及炼化工程,-0.56,9736120.0,0.3
2026-07-19,其他医疗服务,-5.42,4516734.0,0.37
2026-07-19,果蔬加工,-3.11,4492468.0,0.7
2026-07-19,鞋帽及其他,-3.37,4285150.0,0.24
2026-07-19,家纺,-1.27,4054478.0,1.08
2026-07-19,涤纶,-3.77,3722243.0,0.39
2026-07-19,公路货运,-2.53,3644049.0,1.09
2026-07-19,其他家电Ⅲ,-3.75,3641458.0,2.36
2026-07-19,其他家电Ⅱ,-3.75,3641458.0,2.36
2026-07-19,涂料,-3.38,3591458.0,1.13
2026-07-19,汽车经销商,-1.43,2922326.0,1.28
2026-07-19,厨卫电器,-1.72,2075602.0,0.26
2026-07-19,卫浴电器,-0.88,2068058.0,1.05
2026-07-19,人力资源服务,-2.62,1467634.0,0.62
2026-07-19,房地产综合服务,-3.73,762376.0,1.06
2026-07-19,海洋捕捞,-1.82,419208.0,0.31
2026-07-19,厨房电器,-2.15,7543.0,0.0
2026-07-19,其他能源发电,-1.3,-247166.0,-0.22
2026-07-19,纺织鞋类制造,0.4,-725118.0,-0.65
2026-07-19,氨纶,1.1,-783379.0,-0.17
2026-07-19,医美服务,-0.64,-1459315.0,-10.85
2026-07-19,林业Ⅱ,-4.25,-1818565.0,-0.27
2026-07-19,林业Ⅲ,-4.25,-1818565.0,-0.27
2026-07-19,文化用品,-3.01,-2033734.0,-0.33
2026-07-19,个护小家电,-3.14,-2036360.0,-0.75
2026-07-19,其他专业服务,-2.99,-2305558.0,-0.94
2026-07-19,餐饮,-2.5,-3414119.0,-1.98
2026-07-19,燃料电池,-5.35,-5027593.0,-7.29
2026-07-19,仓储物流,-2.62,-5124550.0,-0.61
2026-07-19,无机盐,-5.19,-5442720.0,-0.14
2026-07-19,大气治理,-2.45,-6346614.0,-1.57
2026-07-19,长材,-1.74,-6575035.0,-4.4
2026-07-19,烘焙食品,-3.23,-6685371.0,-1.25
2026-07-19,洗护用品,-3.47,-6755502.0,-3.13
2026-07-19,其他养殖,-4.0,-6965959.0,-5.6
2026-07-19,水产饲料,-2.55,-7163501.0,-0.71
2026-07-19,动物保健Ⅱ,-3.4,-7827878.0,-0.8
2026-07-19,动物保健Ⅲ,-3.4,-7827878.0,-0.8
2026-07-19,钴,-4.05,-8648825.0,-1.59
2026-07-19,卫浴制品,-3.14,-9311026.0,-3.06
2026-07-19,租赁,0.33,-11189793.0,-0.95
2026-07-19,酒店,-2.01,-11539839.0,-1.84
2026-07-19,学历教育,-3.97,-11747881.0,-6.3
2026-07-19,粮食种植,-1.11,-12001417.0,-2.75
2026-07-19,房产租赁经纪,-5.21,-12199991.0,-3.0
2026-07-19,电网自动化设备,-2.65,-13253088.0,-0.14
2026-07-19,国际工程,-1.17,-13300995.0,-1.73
2026-07-19,医美耗材,-1.94,-13606493.0,-0.87
2026-07-19,棉纺,-1.83,-14385729.0,-1.17
2026-07-19,印刷,-1.6,-14884944.0,-5.5
2026-07-19,辅料,-2.54,-14889942.0,-3.85
2026-07-19,水泥制品,-2.63,-14952640.0,-2.92
2026-07-19,酒店餐饮,-2.21,-14953958.0,-1.87
2026-07-19,化妆品制造及其他,-6.02,-14964748.0,-2.83
2026-07-19,医疗美容,-1.62,-15065813.0,-0.95
2026-07-19,渔业,-2.23,-15464022.0,-2.59
2026-07-19,水产养殖,-2.54,-15883230.0,-3.43
2026-07-19,钢铁管材,-1.94,-15897460.0,-4.96
2026-07-19,农业综合Ⅱ,-2.18,-16217191.0,-13.6
2026-07-19,农业综合Ⅲ,-2.18,-16217191.0,-13.6
2026-07-19,钢结构,-2.58,-16915484.0,-1.75
2026-07-19,冶钢辅料,-1.04,-16991394.0,-2.48
2026-07-19,商用载客车,-2.73,-17028469.0,-1.63
2026-07-19,综合包装,-4.45,-17342348.0,-4.95
2026-07-19,其他饰品,-4.74,-17562546.0,-18.86
2026-07-19,厨房小家电,-2.73,-18520168.0,-3.16
2026-07-19,信托,-1.29,-18558863.0,-3.43
2026-07-19,热力服务,-1.07,-18574976.0,-0.43
2026-07-19,炭黑,-2.38,-19131166.0,-3.4
2026-07-19,熟食,-6.08,-23555366.0,-9.56
2026-07-19,耐火材料,-2.62,-24188353.0,-4.94
2026-07-19,氯碱,-1.62,-24228715.0,-0.71
2026-07-19,民爆制品,-2.09,-25297592.0,-0.97
2026-07-19,锦纶,-2.64,-26230427.0,-5.2
2026-07-19,食用菌,-4.1,-26363704.0,-5.54
2026-07-19,农用机械,-3.29,-27241936.0,-5.7
2026-07-19,其他种植业,-3.49,-27865778.0,-3.11
2026-07-19,玻璃制造,-1.41,-29804897.0,-2.08
2026-07-19,跨境电商,-3.27,-30165206.0,-1.73
2026-07-19,其他黑色家电,-6.42,-30387203.0,-3.13
2026-07-19,轨交设备Ⅱ,-2.99,-30423792.0,-0.73
2026-07-19,轨交设备Ⅲ,-2.99,-30423792.0,-0.73
2026-07-19,汽车服务,-2.89,-30902329.0,-4.25
2026-07-19,体育Ⅱ,-4.98,-31152070.0,-6.82
2026-07-19,体育Ⅲ,-4.98,-31152070.0,-6.82
2026-07-19,印染,-5.01,-31583210.0,-5.28
2026-07-19,啤酒,-1.35,-31849855.0,-2.39
2026-07-19,跨境物流,-1.94,-31972350.0,-3.14
2026-07-19,端到端供应链服务,-4.17,-32345065.0,-4.28
2026-07-19,综合电商,-3.81,-32516369.0,-12.48
2026-07-19,教育运营及其他,-5.38,-32628350.0,-14.06
2026-07-19,特钢Ⅲ,-3.02,-33040488.0,-1.97
2026-07-19,特钢Ⅱ,-3.02,-33040488.0,-1.97
2026-07-19,视频媒体,-3.26,-33367173.0,-7.69
2026-07-19,其他橡胶制品,-3.23,-33433188.0,-2.94
2026-07-19,资产管理,-4.48,-33730844.0,-5.2
2026-07-19,汽车综合服务,-5.81,-33824655.0,-6.79
2026-07-19,胶黏剂及胶带,-5.64,-34637533.0,-5.83
2026-07-19,防水材料,-5.74,-34893129.0,-3.75
2026-07-19,照明设备Ⅱ,-3.69,-36388365.0,-2.85
2026-07-19,照明设备Ⅲ,-3.69,-36388365.0,-2.85
2026-07-19,水泥制造,-1.57,-37781829.0,-1.48
2026-07-19,焦炭Ⅲ,-2.89,-38125198.0,-4.67
2026-07-19,焦炭Ⅱ,-2.89,-38125198.0,-4.67
2026-07-19,其他纺织,-4.77,-38974858.0,-2.93
2026-07-19,金属包装,-4.73,-39077752.0,-3.16
2026-07-19,物业管理,-3.8,-39786262.0,-6.08
2026-07-19,其他建材Ⅲ,-4.96,-39985286.0,-1.64
2026-07-19,化学工程,-3.76,-40762849.0,-3.91
2026-07-19,其他数字媒体,-6.24,-40890189.0,-3.34
2026-07-19,生活用纸,-2.43,-42171349.0,-3.61
2026-07-19,专业连锁Ⅱ,-2.28,-42905395.0,-2.33
2026-07-19,专业连锁Ⅲ,-2.28,-42905395.0,-2.33
2026-07-19,橡胶助剂,-3.07,-43308549.0,-2.37
2026-07-19,粘胶,-4.87,-43877266.0,-6.73
2026-07-19,旅游综合,-3.39,-44383386.0,-5.92
2026-07-19,图片媒体,-6.78,-47354293.0,-9.19
2026-07-19,涂料油墨,-5.95,-47873568.0,-1.17
2026-07-19,互联网电商,-3.86,-48010269.0,-1.11
2026-07-19,个护用品,-2.75,-48926850.0,-3.54
2026-07-19,其他酒类,-2.05,-49468914.0,-3.75
2026-07-19,粮油加工,-2.14,-49761201.0,-8.29
2026-07-19,娱乐用品,-4.17,-50400164.0,-2.99
2026-07-19,房地产服务,-4.08,-51223878.0,-4.52
2026-07-19,保健品,-3.85,-51494704.0,-4.54
2026-07-19,教育出版,-1.32,-52047652.0,-4.68
2026-07-19,文娱用品,-3.89,-52433913.0,-2.28
2026-07-19,水泥,-1.99,-52734472.0,-1.72
2026-07-19,其他化学纤维,-3.04,-53131553.0,-3.07
2026-07-19,大众出版,-3.0,-54379782.0,-3.15
2026-07-19,原材料供应链服务,-2.98,-54608121.0,-4.7
2026-07-19,商业物业经营,-2.96,-54743253.0,-2.04
2026-07-19,公交,-2.75,-56027808.0,-6.11
2026-07-19,人工景区,-2.82,-56364851.0,-8.34
2026-07-19,光伏发电,0.39,-56468368.0,-1.21
2026-07-19,预加工食品,-3.69,-56933078.0,-4.54
2026-07-19,商业地产,-2.51,-57618416.0,-3.36
2026-07-19,零食,-4.08,-57829808.0,-2.84
2026-07-19,广告媒体,-2.55,-57938928.0,-5.78
2026-07-19,种子,-2.34,-58456860.0,-5.16
2026-07-19,其他家居用品,-3.81,-59509362.0,-2.94
2026-07-19,铁矿石,-4.19,-60768659.0,-5.14
2026-07-19,机场,-0.59,-60858494.0,-5.35
2026-07-19,火电设备,-0.99,-61731732.0,-5.4
2026-07-19,百货,-2.86,-62942083.0,-1.88
2026-07-19,金融信息服务,-5.2,-65226546.0,-6.41
2026-07-19,园林工程,-6.17,-65228569.0,-4.27
2026-07-19,其他石化,-3.15,-66212678.0,-3.21
2026-07-19,纺织化学制品,-3.2,-68635615.0,-2.75
2026-07-19,楼宇设备,-4.3,-68873487.0,-5.25
2026-07-19,瓷砖地板,-5.35,-69393586.0,-4.63
2026-07-19,肉制品,-2.19,-70356354.0,-3.13
2026-07-19,品牌消费电子,-4.58,-70794912.0,-1.2
2026-07-19,钟表珠宝,-2.44,-71430223.0,-4.72
2026-07-19,钼,-3.45,-72958352.0,-3.46
2026-07-19,配电设备,-3.96,-73665917.0,-1.66
2026-07-19,成品家居,-3.99,-75486468.0,-4.28
2026-07-19,贸易Ⅲ,-3.02,-76953064.0,-5.77
2026-07-19,贸易Ⅱ,-3.02,-76953064.0,-5.77
2026-07-19,冶钢原料,-2.79,-77760053.0,-4.16
2026-07-19,摩托车,-2.82,-79655642.0,-4.33
2026-07-19,复合肥,-1.26,-79867787.0,-6.01
2026-07-19,核力发电,0.88,-80021688.0,-4.03
2026-07-19,肉鸡养殖,-2.7,-80587367.0,-5.78
2026-07-19,非白酒,-1.76,-81318771.0,-3.07
2026-07-19,其他运输设备,-2.77,-82311918.0,-7.12
2026-07-19,其他农产品加工,-3.46,-82541023.0,-8.03
2026-07-19,多业态零售,-3.37,-84325507.0,-4.76
2026-07-19,印刷包装机械,-4.66,-84768003.0,-7.2
2026-07-19,机床工具,-5.62,-85272128.0,-2.53
2026-07-19,自然景区,-3.01,-85623257.0,-6.65
2026-07-19,燃气Ⅲ,-1.77,-86173632.0,-1.37
2026-07-19,燃气Ⅱ,-1.77,-86173632.0,-1.37
2026-07-19,冰洗,-3.36,-86932316.0,-5.93
2026-07-19,煤化工,-0.27,-87056624.0,-2.05
2026-07-19,其他塑料制品,-4.5,-87073577.0,-3.27
2026-07-19,休闲食品,-4.01,-88070545.0,-3.13
2026-07-19,油服工程,-0.92,-88156912.0,-1.6
2026-07-19,饰品,-2.7,-88992769.0,-5.54
2026-07-19,旅游零售Ⅲ,-3.43,-90970708.0,-3.8
2026-07-19,旅游零售Ⅱ,-3.43,-90970708.0,-3.8
2026-07-19,饲料,-2.57,-91413556.0,-2.95
2026-07-19,纺织服装设备,-4.84,-92355735.0,-5.4
2026-07-19,畜禽饲料,-2.61,-94104963.0,-7.02
2026-07-19,线下药店,-4.26,-95437754.0,-5.78
2026-07-19,橡胶,-3.0,-95872883.0,-2.72
2026-07-19,油田服务,-1.2,-97893034.0,-4.27
