handle,followers,days_seen,n_tweets,engage_sum,lang,market,source
cnfinancewatch,127555,65,121,2957,zh,A股,pool
yifaer_chen,264158,21,21,6444,zh,A股,pool
hellosuoha,178119,24,26,481,zh,A股,pool
PhyrexNi,405498,15,17,1839,zh,A股,pool
aiwangupiao,112809,27,46,1868,zh,A股,pool
WangNextDoor2,108315,25,29,2279,zh,A股,pool
off_thetarget,39094,37,88,303,zh,A股,pool
DtDt666,209445,15,17,2946,zh,A股,pool
bboczeng,225020,14,16,1251,zh,A股,pool
Dragonhau66,21826,42,53,984,zh,A股,pool
WiseInvest513,51512,27,31,1894,zh,A股,pool
BroBean88,98111,19,22,3392,zh,A股,pool
LuBtc888,102845,18,19,4353,zh,A股,pool
EmberCN,148704,14,16,903,zh,A股,pool
TingHu888,149308,13,28,1907,zh,A股,pool
web3annie,68408,18,19,838,zh,A股,pool
SUOHA_AI,31127,26,31,3415,zh,A股,pool
furan86999,52084,20,36,228,zh,A股,pool
Agujiaofu,38877,23,60,1074,zh,A股,pool
dajingou1,102152,14,14,1859,zh,A股,pool
Meta8Mate,108639,12,13,645,zh,A股,pool
cloakmk,241898,8,8,789,zh,A股,pool
gork,428601,6,7,8,zh,A股,pool
AsiaFinance,417143,6,6,535,zh,A股,pool
tuolaji2024,50636,17,19,1661,zh,A股,pool
giantcutie666,141999,10,10,971,zh,A股,pool
chuge857,42745,18,20,2528,zh,A股,pool
williamlong,372807,6,6,209,zh,A股,pool
laosanhemao,12843,30,40,2668,zh,A股,pool
Bitcoin188,91816,11,13,2038,zh,A股,pool
hanking66,47351,15,18,3316,zh,A股,pool
Wangduanniao,100452,10,11,1126,zh,A股,pool
XXY177,98139,10,11,554,zh,A股,pool
0xKevin00,80171,11,12,996,zh,A股,pool
82WztfvhHqZz0Ub,95831,10,13,608,zh,A股,pool
DD____,149687,8,8,1,zh,A股,pool
Mr_qiang777,16080,24,25,1541,zh,A股,pool
tychozzz,92137,10,10,1652,zh,A股,pool
Rocky_Bitcoin,143905,8,8,776,zh,A股,pool
love_doge123,52500,13,14,717,zh,A股,pool
antiAIvo,23487,19,33,3427,zh,A股,pool
yijiangren,26016,18,20,1863,zh,A股,pool
shufen46250836,82384,10,10,2104,zh,A股,pool
Salmonbro,16234,22,24,171,zh,A股,pool
qinbafrank,157301,7,7,1185,zh,A股,pool
BroLeon,116005,8,8,516,zh,A股,pool
xiaomustock,277981,5,5,3154,zh,A股,pool
OtherSideBJ,49306,12,14,639,zh,A股,pool
Web3Feng,85808,9,9,1317,zh,A股,pool
xiajingfa8,104888,8,8,572,zh,A股,pool
yyds123888,131926,7,7,964,zh,A股,pool
Xiaoniu6161,181322,6,6,134,zh,A股,pool
jackli727,44416,12,13,428,zh,A股,pool
freearkshaw,28016,15,23,806,zh,A股,pool
Jason23818126,31594,14,15,1596,zh,A股,pool
memekiller365,26823,15,18,473,zh,A股,pool
uniswap12,75016,9,10,176,zh,A股,pool
Cato_KT,41593,12,12,167,zh,A股,pool
snake_w,41255,12,14,210,zh,A股,pool
macrotradecn,159340,6,8,487,zh,A股,pool
Moon1ightSt,114980,7,10,1330,zh,A股,pool
Blazing_Sun1,38726,12,16,760,zh,A股,pool
dcidwso,45268,11,19,585,zh,A股,pool
dacefupan,81805,8,8,219,zh,A股,pool
sol_jingou,51698,10,12,54,zh,A股,pool
NFTCPS,133978,6,6,577,zh,A股,pool
liuxiaoling933,97008,7,7,532,zh,A股,pool
bishengkegs,187409,5,5,125,zh,A股,pool
qtdevlop,27207,13,15,796,zh,A股,pool
jiujinshan2022,93110,7,7,452,zh,A股,pool
IamRamenPanda,91271,7,7,869,zh,A股,pool
mnmn94253156337,13734,18,23,639,zh,A股,pool
Valen9223,19515,15,24,414,zh,A股,pool
VICOINDAO,9142,22,37,67,zh,A股,pool
kirkpaper,6974,25,37,118,zh,A股,pool
simu6668888,30005,12,20,201,zh,A股,pool
web3yezhu,14412,17,26,428,zh,A股,pool
Maddere7,13002,18,47,22,zh,A股,pool
gupiaoyzz,16161,16,20,441,zh,A股,pool
wangjupaian,161542,5,5,293,zh,A股,pool
yuyue_chris,105381,6,7,414,zh,A股,pool
yushanshan1123,30920,11,12,417,zh,A股,pool
tig88411109,75925,7,8,470,zh,A股,pool
LaoshirenBTC,7067,23,29,188,zh,A股,pool
BMCJ888,16176,15,15,1248,zh,A股,pool
xingpt,57697,8,9,450,zh,A股,pool
The_Wooo,101936,6,6,461,zh,A股,pool
PandaTouZi,44633,9,10,805,zh,A股,pool
zfcbtc,20706,13,14,419,zh,A股,pool
allen5951,7902,21,28,216,zh,A股,pool
xianzhizhou,95430,6,7,413,zh,A股,pool
LMDFinance,20136,13,13,268,zh,A股,pool
bi_9527zx,52214,8,9,674,zh,A股,pool
LuYao_Trader,91995,6,6,423,zh,A股,pool
sanhuyanxishe,51303,8,10,671,zh,A股,pool
xtony1314,120785,5,5,1425,zh,A股,pool
HougeSol,17780,13,18,1605,zh,A股,pool
dawda5152,20827,12,13,341,zh,A股,pool
CryptoPilot3226,36132,9,9,291,zh,A股,pool
qkl2058,79773,6,6,708,zh,A股,pool
henghaer123,19560,12,17,1637,zh,A股,pool
formnoshape,28058,10,10,1205,zh,A股,pool
youngstockuser,12516,15,21,718,zh,A股,pool
WallStreet0Name,76174,6,7,2041,zh,A股,pool
LucyBuilding,40893,8,8,983,zh,A股,pool
SixOnWallSt,25813,10,10,808,zh,A股,pool
luckybibiw1p,7869,18,19,223,zh,A股,pool
roger73005305,69987,6,6,537,zh,A股,pool
waveking1314,69579,6,7,703,zh,A股,pool
Nicole_yang88,38148,8,9,298,zh,A股,pool
SVScholar,97488,5,5,225,zh,A股,pool
Crypto_L92,38047,8,9,141,zh,A股,pool
Trader_S18,65832,6,6,284,zh,A股,pool
AnchorNode,10364,15,16,415,zh,A股,pool
Vibe718,65240,6,9,0,zh,A股,pool
eastweb3eth,22217,10,11,1183,zh,A股,pool
MoYU_7777,33843,8,8,370,zh,A股,pool
QingFengJianZX,21407,10,14,758,zh,A股,pool
dongbimao,33619,8,8,438,zh,A股,pool
ArtofSpecuycky,41851,7,8,2552,zh,A股,pool
bixiaochao,32734,8,8,1081,zh,A股,pool
Aw3ff_,42988,7,7,255,zh,A股,pool
sszcw,58820,6,6,92,zh,A股,pool
BTCfuyao,58191,6,6,1,zh,A股,pool
lianyanshe,82295,5,5,123,zh,A股,pool
blockTVBee,31774,8,11,274,zh,A股,pool
diaomao2023,39769,7,7,1131,zh,A股,pool
PWenzhen76938,52719,6,7,1670,zh,A股,pool
MEJ50749,75133,5,5,1562,zh,A股,pool
Bitebishuqin,22909,9,10,712,zh,A股,pool
fly2_1M,8260,15,19,261,zh,A股,pool
0xzhaozhao,74294,5,5,178,zh,A股,pool
kuk47377341,22348,9,9,325,zh,A股,pool
Wujizhuzhu,21561,9,11,1037,zh,A股,pool
mubeitech,68769,5,5,1476,zh,A股,pool
YuGuan1209,47268,6,6,262,zh,A股,pool
WuChuanIJ,34720,7,8,188,zh,A股,pool
kugo_A10,33986,7,9,585,zh,A股,pool
BTC__Sunny,45801,6,8,407,zh,A股,pool
zkgoudan,46278,6,6,131,zh,A股,pool
QingSong79,33755,7,11,258,zh,A股,pool
RichTerry123,32577,7,8,1038,zh,A股,pool
AYi_AInotes,64318,5,7,685,zh,A股,pool
leonZR1394,65854,5,5,68,zh,A股,pool
Guilin_Chen_,45007,6,6,274,zh,A股,pool
0xTraderYi,19820,9,9,144,zh,A股,pool
Print_kbar,15609,10,16,352,zh,A股,pool
OrderlyCN_,63342,5,12,4,zh,A股,pool
btcoindown,30927,7,9,265,zh,A股,pool
Hoyooyoo,59570,5,5,674,zh,A股,pool
pcwler66,59635,5,5,573,zh,A股,pool
greenhandwe,30433,7,7,372,zh,A股,pool
z0072024,41100,6,6,72,zh,A股,pool
eveyino,29701,7,7,47,zh,A股,pool
vivimoneya,14259,10,13,147,zh,A股,pool
Leooo2099,17043,9,9,809,zh,A股,pool
North0508,5472,16,18,392,zh,A股,pool
