date,code,name,source,metric,value
2026-07-09,000021,深科技,东财人气榜,排名,5.0
2026-07-09,000021,深科技,雪球,关注度,152152.0
2026-07-09,001309,德明利,东财人气榜,排名,98.0
2026-07-09,001309,德明利,雪球,关注度,85018.0
2026-07-09,002371,北方华创,东财人气榜,排名,32.0
2026-07-09,002371,北方华创,雪球,关注度,265500.0
2026-07-09,002384,东山精密,东财人气榜,排名,10.0
2026-07-09,002384,东山精密,雪球,关注度,186797.0
2026-07-09,300223,北京君正,东财人气榜,排名,99.0
2026-07-09,300223,北京君正,雪球,关注度,176222.0
2026-07-09,300308,中际旭创,东财人气榜,排名,49.0
2026-07-09,300308,中际旭创,雪球,关注度,297301.0
2026-07-09,300502,新易盛,东财人气榜,排名,83.0
2026-07-09,300502,新易盛,雪球,关注度,213732.0
2026-07-09,301308,江波龙,东财人气榜,排名,40.0
2026-07-09,301308,江波龙,雪球,关注度,102781.0
2026-07-09,600667,太极实业,东财人气榜,排名,6.0
2026-07-09,600667,太极实业,雪球,关注度,109731.0
2026-07-09,603256,宏和科技,雪球,关注度,51856.0
2026-07-09,603986,兆易创新,东财人气榜,排名,2.0
2026-07-09,603986,兆易创新,雪球,关注度,363016.0
2026-07-09,688008,澜起科技,东财人气榜,排名,33.0
2026-07-09,688008,澜起科技,雪球,关注度,135297.0
2026-07-09,688256,寒武纪,东财人气榜,排名,54.0
2026-07-09,688256,寒武纪,雪球,关注度,214265.0
2026-07-09,688361,中科飞测,雪球,关注度,21461.0
2026-07-09,688409,富创精密,雪球,关注度,18992.0
2026-07-09,688525,佰维存储,雪球,关注度,87679.0
2026-07-10,000021,深科技,东财人气榜,排名,16.0
2026-07-10,000021,深科技,雪球,关注度,153528.0
2026-07-10,001309,德明利,雪球,关注度,85044.0
2026-07-10,002371,北方华创,雪球,关注度,265845.0
2026-07-10,002384,东山精密,东财人气榜,排名,54.0
2026-07-10,002384,东山精密,雪球,关注度,187460.0
2026-07-10,300223,北京君正,雪球,关注度,176319.0
2026-07-10,300308,中际旭创,东财人气榜,排名,17.0
2026-07-10,300308,中际旭创,雪球,关注度,297807.0
2026-07-10,300502,新易盛,东财人气榜,排名,91.0
2026-07-10,300502,新易盛,雪球,关注度,213957.0
2026-07-10,301308,江波龙,东财人气榜,排名,73.0
2026-07-10,301308,江波龙,雪球,关注度,102793.0
2026-07-10,600667,太极实业,东财人气榜,排名,27.0
2026-07-10,600667,太极实业,雪球,关注度,110058.0
2026-07-10,603256,宏和科技,雪球,关注度,51809.0
